OBJECTID,Site,Region,Plot,Date,RTK_Waypoint,Elevation_NAVD88m,Longitude,Latitude,Total_Rockweed_Cover____,Bare_Cover____,Ascophyllum_nodosum,Chondrus__crispus,Fucus__vesiculosus,Grassileria,Saccharina,Ulva,Vertebrata_lanosa,Green_Algae,Unknown,Canopy_Depth__cm_,Canopy_Length___cm_,Ascophyllum_Age__yrs_,Substrate,Hardened,Plot_1_Alive_Oysters,Plot_1_Dead_Oysters,Plot_1_Mean_Oyster_Height__mm_,Plot_2_Alive_Oysters,Plot_2_Dead_Oysters,Plot_2_Mean_Oyster_Height__mm_,Plot_2__Direction,Oyster_Density______m2_,Total_Oyster_Boxes_Found,Plot_1_Alive_Blue_Mussels,Plot_1_Dead_Blue_Mussels,Plot_1_Mean_Blue_Mussel_Height__mm_,Plot_2_Alive_Blue_Mussels,Plot_2_Dead_Blue_Mussels,Plot_2_Mean_Blue_Mussel_Height__mm_,Plot_2___1,Blue_Mussel_Density______m2_,Total_Blue_Mussel_Boxes_Found,Blue_Mussel_Plot_Height__mm_,Plot_1_Alive_Ribbed_Mussels,Plot_1_Dead_Ribbed_Mussels,Plot_1_Mean_Ribbed_Mussel_Height__mm_,Plot_2_Alive_Ribbed_Mussels,Plot_2_Dead_Ribbed_Mussels,Plot_2_Mean_Ribbed_Mussel_Height__mm_,Plot_2___2,Ribbed_Mussel_Density______m2_,Total_Ribbed_Mussel_Boxes_Found,RibbedMussel_Plot_Height__mm_,Notes,BAI_Extracted,Lidar_Extracted,NDWI_Extracted,RBR_Extracted
1,Adams Point,Little Bay,1,9/27/2024,1,-0.023,-70.86422729,43.09375763,100,0,100,,,,,,,,,10,105,8,Cobble,No,4,2,27.25,,,,,11.42857143,2,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.193675891,0.345150381,-0.193675891,0.024630541
2,Adams Point,Little Bay,2,9/27/2024,2,-0.033,-70.86421204,43.09378433,100,0,100,,,,,,,,,9,126,10,Cobble,No,2,4,33,,,,,5.714285714,4,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.246913582,0.317627668,-0.246913582,0.04265403
3,Adams Point,Little Bay,3,9/27/2024,3,-0.419,-70.86419678,43.09384918,70,0,30,,40,10,,10,,10,,7,,,Gravel,No,1,1,31,,,,,2.857142857,1,0,0,,,,,,0,0,,0,0,,,,,,0,0,,No macroalgae rooted in plot,0.257142872,-0.031654928,-0.257142872,-0.005025126
4,Adams Point,Little Bay,4,9/27/2024,4,-0.074,-70.86425018,43.09391022,80,20,75,,5,,,,,,,5,103,9,Gravel,No,0,1,,1,27,,East,1.428571429,28,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.259493679,0.289171576,-0.259493679,0.141463414
5,Adams Point,Little Bay,5,9/27/2024,5,-0.639,-70.86424255,43.09402466,100,0,100,,,,,,,,,8,6,4,Gravel,No,0,0,,1,38,,East,1.428571429,38,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,No bladders found on macroalgae to discern age,0.231746033,-0.705889702,-0.231746033,0.034825869
6,Jackson Lab Pier,Little Bay,1,9/27/2024,6,-0.009,-70.86460876,43.09198761,75,25,75,,,,,,,,,10,59,7,Boulder,Yes,0,1,50,0,0,,,0,1,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.142857149,0.310403943,-0.142857149,0.035211269
7,Jackson Lab Pier,Little Bay,2,9/27/2024,7,-0.486,-70.86457825,43.09196091,98,0,98,,,,,,,2,,4,73,8,Boulder,Yes,4,6,,,,,,11.42857143,6,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.163323775,-0.084642604,-0.163323775,0.057553958
8,Jackson Lab Pier,Little Bay,3,9/27/2024,8,0.043,-70.86455536,43.09200668,95,5,95,,,,,,,,,7,70,7,Boulder,Yes,0,3,35,2,0,39,East,2.857142857,3,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.154696137,0.309419513,-0.154696137,0.074183978
9,Jackson Lab Pier,Little Bay,4,9/27/2024,9,-0.364,-70.86448669,43.09202576,98,0,98,,,,,,,2,,9,87,11,Boulder,Yes,2,4,,,,,,5.714285714,4,1,0,58,,,,,2.857142857,0,58,0,0,,,,,,0,0,,,0.193415642,0.134278849,-0.193415642,0.059360731
10,Jackson Lab Pier,Little Bay,5,9/27/2024,10,0.026,-70.86456299,43.0920105,70,30,70,,,,,,,,,7,50,5,Gravel,Yes,0,1,,0,0,,East,0,1,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.158774376,0.382906049,-0.158774376,0.065420561
