Site,Region,Plot,Date,Oyster_1,Oyster_2,Oyster_3,Oyster_4,Oyster_5,Oyster_6,Oyster_7,Oyster_8,Blue_Mussel_1,Blue_Mussel_2,Blue_Mussel_3,Blue_Mussel_4,Blue_Mussel_5,Blue_Mussel_6,Blue_Mussel_7,Blue_Mussel_8,Blue_Mussel_9,Blue_Mussel_10,Blue_Mussel_11,Blue_Mussel_12,Blue_Mussel_13,Ribbed_Mussel_1,Ribbed_Mussel_2,Ribbed_Mussel_3,Ribbed_Mussel_4,Ribbed_Mussel_5,Ribbed_Mussel_6,Ribbed_Mussel_7,Ribbed_Mussel_8,Ribbed_Mussel_9,Ribbed_Mussel_10,Ribbed_Mussel_11,Ribbed_Mussel_12,Ribbed_Mussel_13,Ribbed_Mussel_14,Ribbed_Mussel_15,Ribbed_Mussel_16,Ribbed_Mussel_17,Ribbed_Mussel_18,Ribbed_Mussel_19,European_Oyster_1,European_Oyster_2,European_Oyster_3,European_Oyster_4,European_Oyster_5,Hard_Clam_1
Adams Point,Little Bay,1,9/27/2024,30,25,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Point,Little Bay,2,9/27/2024,26,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Point,Little Bay,3,9/27/2024,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Point,Little Bay,4,9/27/2024,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Point,Little Bay,5,9/27/2024,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Lab Pier,Little Bay,1,9/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Lab Pier,Little Bay,2,9/27/2024,64,62,38,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Lab Pier,Little Bay,3,9/27/2024,28,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Lab Pier,Little Bay,4,9/27/2024,49,21,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Lab Pier,Little Bay,5,9/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker Creek,Oyster River,1,9/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker Creek,Oyster River,2,9/30/2024,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
Bunker Creek,Oyster River,3,9/30/2024,41,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,
Bunker Creek,Oyster River,4,9/30/2024,76,33,,,,,,,,,,,,,,,,,,,,54,61,,,,,,,,,,,,,,,,,,,,,,,
Bunker Creek,Oyster River,5,9/30/2024,38,25,,,,,,,,,,,,,,,,,,,,68,64,75,,,,,,,,,,,,,,,,,,,,,,
Cedar Point,Bellamy River,1,10/3/2024,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Point,Bellamy River,2,10/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Point,Bellamy River,3,10/3/2024,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Point,Bellamy River,4,10/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Point,Bellamy River,5,10/3/2024,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Park,Piscataqua River,1,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Park,Piscataqua River,2,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Park,Piscataqua River,3,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Park,Piscataqua River,4,10/8/2024,,,,,,,,,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Park,Piscataqua River,5,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Point,Cocheco - Salmon Falls Riverss,1,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Point,Cocheco - Salmon Falls Riverss,2,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Point,Cocheco - Salmon Falls Riverss,3,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Point,Cocheco - Salmon Falls Riverss,4,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Point,Cocheco - Salmon Falls Riverss,5,10/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Ave,Portsmouth Harbor & Seavey Island,1,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Ave,Portsmouth Harbor & Seavey Island,2,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Ave,Portsmouth Harbor & Seavey Island,3,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Ave,Portsmouth Harbor & Seavey Island,4,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Ave,Portsmouth Harbor & Seavey Island,5,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Commons,Portsmouth Harbor & Seavey Island,1,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Commons,Portsmouth Harbor & Seavey Island,2,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Commons,Portsmouth Harbor & Seavey Island,3,10/28/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
