system:index,B,G,Lidar,N,R,training_poly,.geo
0,96,93,-0.29837784,130,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90307295866832,43.073252176655764]}"
1,93,95,-1.4999237,140,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86244704933192,43.07198369616322]}"
2,79,78,-0.5780797,101,69,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86366938763145,43.082749198764844]}"
3,92,89,-0.064078026,146,76,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74619299098624,43.07621151667164]}"
4,90,84,-1.4999237,126,74,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86248623502229,43.07180393927215]}"
5,89,88,0.14437003,134,76,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86368331288921,43.082623274120024]}"
6,104,98,-1.4999237,144,87,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86249674701892,43.07193903735392]}"
7,70,62,-0.9849528,139,47,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72480705109146,43.05185918164603]}"
8,82,82,-0.35407123,132,71,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8637580474487,43.08254278414985]}"
9,74,74,-1.0190803,156,58,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72482028809029,43.051796279239234]}"
10,120,118,0.3322185,129,100,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74318679106696,43.06706867963124]}"
11,131,139,0.58383733,127,127,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78749832267853,43.09954435395868]}"
12,98,100,0.2552025,142,90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86365863644527,43.08263210255376]}"
13,86,84,-0.12980305,115,73,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86371968101277,43.08265953570853]}"
14,88,92,-1.4999237,150,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86241280674804,43.071785419999415]}"
15,106,102,-0.081227265,138,92,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86350822599078,43.08286508848091]}"
16,100,94,-0.611328,94,84,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86361956436683,43.082802858708185]}"
17,89,100,-0.7506713,121,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78743523544155,43.099660889484376]}"
18,76,73,-0.54393464,135,62,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74625249386871,43.07633801753496]}"
19,92,102,-0.24934885,124,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82456853678897,43.1158729425587]}"
20,90,92,-0.5387786,138,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86172359560238,43.05877322733554]}"
21,90,84,0.16702913,132,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86370845953542,43.08257844259042]}"
22,74,81,-0.40732688,147,67,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82462638753137,43.11613441296123]}"
23,96,93,-1.4999237,136,86,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8624102173897,43.071983437306116]}"
24,78,86,-0.4164819,146,71,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82451494931216,43.116196603591014]}"
25,75,74,0.42381057,143,65,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74670790656201,43.08283182120036]}"
26,97,94,-0.41242543,150,81,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300007489587,43.07318867896499]}"
27,50,48,0.025561996,128,40,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72040255056315,43.05811497528372]}"
28,88,90,-0.014697108,154,71,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90304929734799,43.07318000582204]}"
29,107,110,-0.4816727,110,101,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78750931742884,43.09963445402767]}"
30,71,74,0.44435385,142,66,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74673259945158,43.08282301814239]}"
31,82,78,-0.40256512,136,62,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73564764652023,43.06955504146489]}"
32,121,126,-0.16661991,136,119,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82449543816398,43.115827396853305]}"
33,88,88,-1.4999237,125,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86252153699424,43.07192120833425]}"
34,82,82,-1.4999237,137,71,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86250333734199,43.07143499327208]}"
35,106,116,-0.22520822,120,102,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452001008068,43.115827577707584]}"
36,102,98,-0.10934699,134,89,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86349582891634,43.08287400306473]}"
37,111,116,-0.16132496,132,105,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8245319257476,43.115854670027566]}"
38,94,94,-0.8765505,148,85,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871897121662,43.099650001065456]}"
39,90,89,0.35166785,132,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86369641521007,43.08256035487921]}"
40,106,112,-0.21230856,122,100,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82454174312448,43.116034773080855]}"
41,80,82,-0.44604596,152,70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82463855013536,43.116143504006864]}"
42,116,122,-0.19864063,139,113,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8245442117115,43.11585476045149]}"
43,110,110,0.07606746,130,100,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86171285162808,43.058656130517775]}"
44,95,100,-0.2731193,89,90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82458020563844,43.11591803613689]}"
45,93,88,-0.40877062,124,82,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86347032922615,43.08294583685779]}"
46,94,96,-1.4999237,130,84,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86236416846893,43.07174907169355]}"
47,96,102,-0.4662979,133,88,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.787399031623,43.09961560349355]}"
48,91,90,0.09293685,138,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86365828376584,43.082659104871055]}"
49,105,112,-0.24410136,127,100,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82456828993827,43.11589094382195]}"
50,111,104,-1.4999237,127,95,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86254585624093,43.07193938245668]}"
51,89,92,-0.57451904,136,80,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82450216953414,43.11623251568716]}"
52,97,93,-0.244755,132,89,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86357056402919,43.08279351322494]}"
53,108,110,-0.20744874,144,98,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86174873366005,43.05872839598371]}"
54,95,92,-0.26007834,134,78,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74312419515205,43.06714918886983]}"
