system:index,B,G,N,R,training_poly,.geo
0,139.0,144.0,93.0,140.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82437625088734,43.11576944699799]}"
1,122.0,121.0,106.0,104.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73566761658054,43.06960502454708]}"
2,142.0,139.0,142.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86241092001696,43.071985560049995]}"
3,152.0,152.0,160.0,142.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74664502935248,43.082909073904894]}"
4,150.0,161.0,162.0,136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.0730545552381]}"
5,141.0,144.0,127.0,137.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82460082970837,43.116092840500265]}"
6,158.0,161.0,117.0,150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90302375401201,43.073081504696624]}"
7,130.0,128.0,139.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74626773693315,43.07631543971945]}"
8,138.0,136.0,144.0,124.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726113640894,43.04915038552768]}"
9,136.0,139.0,118.0,130.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8243223519703,43.11581436276219]}"
10,142.0,146.0,129.0,130.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86163836887262,43.058663544386505]}"
11,90.0,78.0,62.0,66.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871680318191,43.09970756971793]}"
12,141.0,139.0,159.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74619587171041,43.076261540802406]}"
13,151.0,150.0,138.0,136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.073180319377876]}"
14,121.0,122.0,136.0,101.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82459184655553,43.116218604640046]}"
15,161.0,162.0,141.0,158.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7466270630468,43.082945006516255]}"
16,131.0,130.0,139.0,112.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242888632265,43.071743014923285]}"
17,83.0,73.0,23.0,62.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871231160549,43.09970756971793]}"
18,128.0,127.0,124.0,110.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177311616524,43.05884320744333]}"
19,122.0,112.0,124.0,92.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86375839294314,43.08251381517988]}"
20,148.0,151.0,123.0,142.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.824564897097,43.11600300897185]}"
21,125.0,126.0,136.0,106.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82448404872143,43.1159041942906]}"
22,139.0,146.0,85.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82444811611008,43.11587724483208]}"
23,151.0,147.0,134.0,135.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.07309048784946]}"
24,144.0,142.0,142.0,135.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78742854325151,43.09951892350826]}"
25,142.0,150.0,102.0,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.733718272414,43.07035960938574]}"
26,133.0,131.0,149.0,119.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78739261064014,43.0995279066611]}"
27,134.0,136.0,123.0,124.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11606589104174]}"
28,130.0,128.0,126.0,110.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86173718355387,43.05882524113765]}"
29,151.0,154.0,179.0,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71737791739586,43.04898868877654]}"
30,138.0,141.0,116.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11589521113776]}"
31,137.0,128.0,148.0,119.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78748244216855,43.09959078873099]}"
32,118.0,108.0,131.0,85.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625726167681,43.07196759374432]}"
33,128.0,123.0,136.0,102.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86245583578116,43.07177894753465]}"
34,131.0,132.0,125.0,119.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11610182365311]}"
35,150.0,151.0,123.0,138.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.07319828568356]}"
36,147.0,146.0,163.0,136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74669892826952,43.08286415814069]}"
37,150.0,149.0,151.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90306866977622,43.07301862262673]}"
38,128.0,127.0,152.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78737464433446,43.09950994035542]}"
