system:index,B,G,N,R,training_poly,.geo
0,148.0,148.0,184.0,132.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82437625088734,43.11576944699799]}"
1,127.0,111.0,64.0,82.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73566761658054,43.06960502454708]}"
2,151.0,157.0,216.0,146.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86241092001696,43.071985560049995]}"
3,137.0,140.0,220.0,125.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74664502935248,43.082909073904894]}"
4,145.0,143.0,228.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.0730545552381]}"
5,139.0,139.0,126.0,127.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82460082970837,43.116092840500265]}"
6,143.0,140.0,202.0,125.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90302375401201,43.073081504696624]}"
7,136.0,130.0,212.0,111.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74626773693315,43.07631543971945]}"
8,117.0,111.0,116.0,82.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726113640894,43.04915038552768]}"
9,133.0,139.0,182.0,122.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8243223519703,43.11581436276219]}"
10,141.0,139.0,209.0,129.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86163836887262,43.058663544386505]}"
11,147.0,142.0,181.0,121.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871680318191,43.09970756971793]}"
12,131.0,130.0,213.0,110.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74619587171041,43.076261540802406]}"
13,143.0,143.0,226.0,129.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.073180319377876]}"
14,117.0,128.0,209.0,96.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82459184655553,43.116218604640046]}"
15,145.0,148.0,218.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7466270630468,43.082945006516255]}"
16,142.0,139.0,185.0,124.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242888632265,43.071743014923285]}"
17,141.0,134.0,177.0,114.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7871231160549,43.09970756971793]}"
18,132.0,132.0,216.0,108.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86177311616524,43.05884320744333]}"
19,140.0,142.0,190.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86375839294314,43.08251381517988]}"
20,128.0,131.0,176.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.824564897097,43.11600300897185]}"
21,130.0,134.0,206.0,109.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82448404872143,43.1159041942906]}"
22,133.0,136.0,163.0,120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82444811611008,43.11587724483208]}"
23,138.0,138.0,226.0,122.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90300578770632,43.07309048784946]}"
24,151.0,148.0,200.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78742854325151,43.09951892350826]}"
25,131.0,125.0,38.0,90.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.733718272414,43.07035960938574]}"
26,134.0,136.0,211.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78739261064014,43.0995279066611]}"
27,123.0,129.0,164.0,104.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11606589104174]}"
28,133.0,132.0,218.0,111.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86173718355387,43.05882524113765]}"
29,118.0,114.0,118.0,86.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71737791739586,43.04898868877654]}"
30,128.0,137.0,155.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11589521113776]}"
31,136.0,137.0,213.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78748244216855,43.09959078873099]}"
32,134.0,133.0,202.0,105.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625726167681,43.07196759374432]}"
33,141.0,138.0,208.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86245583578116,43.07177894753465]}"
34,135.0,139.0,194.0,120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82452896448564,43.11610182365311]}"
35,145.0,150.0,224.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.07319828568356]}"
36,132.0,136.0,214.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74669892826952,43.08286415814069]}"
37,153.0,150.0,197.0,136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90306866977622,43.07301862262673]}"
38,137.0,135.0,208.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78737464433446,43.09950994035542]}"
39,149.0,144.0,205.0,135.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90306866977622,43.07309947100231]}"
40,144.0,152.0,212.0,135.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86374042663746,43.08251381517988]}"
41,138.0,137.0,208.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625277010039,43.07192267798011]}"
42,118.0,97.0,33.0,69.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7250405467694,43.0517285503931]}"
43,108.0,88.0,38.0,63.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7248429174069,43.051809398768675]}"
44,141.0,150.0,220.0,137.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86244685262832,43.071877762215905]}"
45,138.0,142.0,193.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.863596696192,43.08273839400091]}"
46,145.0,148.0,220.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86244685262832,43.0718328464517]}"
47,138.0,136.0,203.0,112.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78741057694582,43.099689603412244]}"
48,148.0,144.0,215.0,125.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86172820040103,43.05875337591492]}"
49,136.0,138.0,207.0,126.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78747345901571,43.0995279066611]}"
50,148.0,156.0,214.0,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86374042663746,43.08250483202704]}"
51,145.0,140.0,174.0,125.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78740159379298,43.09967163710656]}"
52,132.0,134.0,165.0,115.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82461879601405,43.1160119921247]}"
53,136.0,139.0,180.0,124.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82458286340268,43.1160119921247]}"
54,137.0,137.0,118.0,125.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82462777916689,43.11596707636049]}"
55,142.0,149.0,219.0,136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86244685262832,43.07192267798011]}"
56,140.0,140.0,212.0,124.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86251871785106,43.07199454320284]}"
57,136.0,139.0,181.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82455591394417,43.115850295373555]}"
