"","StationCode","DateTimeStamp","Sal","RESULTS.VALID","RESULT.COMMENT","Year","Month","Day"
"1","GRBBR",2017-04-27 14:30:00,16.3,"","<0> (CND) NEW DEPLOYMENT",2017,4,27
"2","GRBBR",2017-04-27 14:45:00,16.3,""," ",2017,4,27
"3","GRBBR",2017-04-27 15:00:00,16.3,""," ",2017,4,27
"4","GRBBR",2017-04-27 15:15:00,16.3,""," ",2017,4,27
"5","GRBBR",2017-04-27 15:30:00,16.3,""," ",2017,4,27
"6","GRBBR",2017-04-27 15:45:00,15.9,""," ",2017,4,27
"7","GRBBR",2017-04-27 16:00:00,16.1,""," ",2017,4,27
"8","GRBBR",2017-04-27 16:15:00,16,""," ",2017,4,27
"9","GRBBR",2017-04-27 16:30:00,16.1,""," ",2017,4,27
"10","GRBBR",2017-04-27 16:45:00,15.7,""," ",2017,4,27
"11","GRBBR",2017-04-27 17:00:00,15.6,""," ",2017,4,27
"12","GRBBR",2017-04-27 17:15:00,14.7,""," ",2017,4,27
"13","GRBBR",2017-04-27 17:30:00,14.4,""," ",2017,4,27
"14","GRBBR",2017-04-27 17:45:00,13.7,""," ",2017,4,27
"15","GRBBR",2017-04-27 18:00:00,13.1,""," ",2017,4,27
"16","GRBBR",2017-04-27 18:15:00,12,""," ",2017,4,27
"17","GRBBR",2017-04-27 18:30:00,10.5,""," ",2017,4,27
"18","GRBBR",2017-04-27 18:45:00,8.2,""," ",2017,4,27
"19","GRBBR",2017-04-27 19:00:00,6.4,""," ",2017,4,27
"20","GRBBR",2017-04-27 19:15:00,5.1,""," ",2017,4,27
"21","GRBBR",2017-04-27 19:30:00,3.8,""," ",2017,4,27
"22","GRBBR",2017-04-27 19:45:00,3.4,""," ",2017,4,27
"23","GRBBR",2017-04-27 20:00:00,2.5,""," ",2017,4,27
"24","GRBBR",2017-04-27 20:15:00,1.9,""," ",2017,4,27
"25","GRBBR",2017-04-27 20:30:00,1,""," ",2017,4,27
"26","GRBBR",2017-04-27 20:45:00,0.4,""," ",2017,4,27
"27","GRBBR",2017-04-27 21:00:00,0.3,""," ",2017,4,27
"28","GRBBR",2017-04-27 21:15:00,0.4,""," ",2017,4,27
"29","GRBBR",2017-04-27 21:30:00,0.4,""," ",2017,4,27
"30","GRBBR",2017-04-27 21:45:00,0.8,""," ",2017,4,27
"31","GRBBR",2017-04-27 22:00:00,1.6,""," ",2017,4,27
"32","GRBBR",2017-04-27 22:15:00,2.3,""," ",2017,4,27
"33","GRBBR",2017-04-27 22:30:00,3.3,""," ",2017,4,27
"34","GRBBR",2017-04-27 22:45:00,4.5,""," ",2017,4,27
"35","GRBBR",2017-04-27 23:00:00,6.5,""," ",2017,4,27
"36","GRBBR",2017-04-27 23:15:00,8.7,""," ",2017,4,27
"37","GRBBR",2017-04-27 23:30:00,10.7,""," ",2017,4,27
"38","GRBBR",2017-04-27 23:45:00,11.7,""," ",2017,4,27
"39","GRBBR",2017-04-28 00:00:00,12.3,""," ",2017,4,28
"40","GRBBR",2017-04-28 00:15:00,13.1,""," ",2017,4,28
"41","GRBBR",2017-04-28 00:30:00,13.6,""," ",2017,4,28
"42","GRBBR",2017-04-28 00:45:00,14,""," ",2017,4,28
"43","GRBBR",2017-04-28 01:00:00,14.5,""," ",2017,4,28
"44","GRBBR",2017-04-28 01:15:00,14.9,""," ",2017,4,28
"45","GRBBR",2017-04-28 01:30:00,15.3,""," ",2017,4,28
"46","GRBBR",2017-04-28 01:45:00,15.5,""," ",2017,4,28
"47","GRBBR",2017-04-28 02:00:00,15.9,""," ",2017,4,28
"48","GRBBR",2017-04-28 02:15:00,16,""," ",2017,4,28
"49","GRBBR",2017-04-28 02:30:00,16.1,""," ",2017,4,28
"50","GRBBR",2017-04-28 02:45:00,16.1,""," ",2017,4,28
"51","GRBBR",2017-04-28 03:00:00,16.2,""," ",2017,4,28
"52","GRBBR",2017-04-28 03:15:00,16.2,""," ",2017,4,28
"53","GRBBR",2017-04-28 03:30:00,16.2,""," ",2017,4,28
"54","GRBBR",2017-04-28 03:45:00,16.2,""," ",2017,4,28
"55","GRBBR",2017-04-28 04:00:00,16.1,""," ",2017,4,28
"56","GRBBR",2017-04-28 04:15:00,16,""," ",2017,4,28
"57","GRBBR",2017-04-28 04:30:00,16.1,""," ",2017,4,28
"58","GRBBR",2017-04-28 04:45:00,16,""," ",2017,4,28
"59","GRBBR",2017-04-28 05:00:00,16,""," ",2017,4,28
"60","GRBBR",2017-04-28 05:15:00,15.7,""," ",2017,4,28
"61","GRBBR",2017-04-28 05:30:00,15.6,""," ",2017,4,28
"62","GRBBR",2017-04-28 05:45:00,15.2,""," ",2017,4,28
"63","GRBBR",2017-04-28 06:00:00,15.1,""," ",2017,4,28
"64","GRBBR",2017-04-28 06:15:00,14.6,""," ",2017,4,28
"65","GRBBR",2017-04-28 06:30:00,13.3,""," ",2017,4,28
"66","GRBBR",2017-04-28 06:45:00,12.6,""," ",2017,4,28
"67","GRBBR",2017-04-28 07:00:00,10.8,""," ",2017,4,28
"68","GRBBR",2017-04-28 07:15:00,8.1,""," ",2017,4,28
"69","GRBBR",2017-04-28 07:30:00,6.8,""," ",2017,4,28
"70","GRBBR",2017-04-28 07:45:00,5.5,""," ",2017,4,28
"71","GRBBR",2017-04-28 08:00:00,4.6,""," ",2017,4,28
"72","GRBBR",2017-04-28 08:15:00,4.2,""," ",2017,4,28
"73","GRBBR",2017-04-28 08:30:00,3.3,""," ",2017,4,28
"74","GRBBR",2017-04-28 08:45:00,2.6,""," ",2017,4,28
"75","GRBBR",2017-04-28 09:00:00,1.6,""," ",2017,4,28
"76","GRBBR",2017-04-28 09:15:00,0.7,""," ",2017,4,28
"77","GRBBR",2017-04-28 09:30:00,0.3,""," ",2017,4,28
"78","GRBBR",2017-04-28 09:45:00,0.3,""," ",2017,4,28
"79","GRBBR",2017-04-28 10:00:00,0.4,""," ",2017,4,28
"80","GRBBR",2017-04-28 10:15:00,0.3,""," ",2017,4,28
"81","GRBBR",2017-04-28 10:30:00,0.4,""," ",2017,4,28
"82","GRBBR",2017-04-28 10:45:00,0.5,""," ",2017,4,28
"83","GRBBR",2017-04-28 11:00:00,0.9,""," ",2017,4,28
"84","GRBBR",2017-04-28 11:15:00,2.6,""," ",2017,4,28
"85","GRBBR",2017-04-28 11:30:00,4.1,""," ",2017,4,28
"86","GRBBR",2017-04-28 11:45:00,5.6,""," ",2017,4,28
"87","GRBBR",2017-04-28 12:00:00,7.7,""," ",2017,4,28
"88","GRBBR",2017-04-28 12:15:00,9.6,""," ",2017,4,28
"89","GRBBR",2017-04-28 12:30:00,11,""," ",2017,4,28
"90","GRBBR",2017-04-28 12:45:00,10.9,""," ",2017,4,28
"91","GRBBR",2017-04-28 13:00:00,12.3,""," ",2017,4,28
"92","GRBBR",2017-04-28 13:15:00,12.7,""," ",2017,4,28
"93","GRBBR",2017-04-28 13:30:00,13.3,""," ",2017,4,28
"94","GRBBR",2017-04-28 13:45:00,13.8,""," ",2017,4,28
"95","GRBBR",2017-04-28 14:00:00,14.1,""," ",2017,4,28
"96","GRBBR",2017-04-28 14:15:00,14.6,""," ",2017,4,28
"97","GRBBR",2017-04-28 14:30:00,14.9,""," ",2017,4,28
"98","GRBBR",2017-04-28 14:45:00,15.2,""," ",2017,4,28
"99","GRBBR",2017-04-28 15:00:00,15.5,""," ",2017,4,28
"100","GRBBR",2017-04-28 15:15:00,15.5,""," ",2017,4,28
"101","GRBBR",2017-04-28 15:30:00,15.6,""," ",2017,4,28
"102","GRBBR",2017-04-28 15:45:00,15.6,""," ",2017,4,28
"103","GRBBR",2017-04-28 16:00:00,15.6,""," ",2017,4,28
"104","GRBBR",2017-04-28 16:15:00,15.5,""," ",2017,4,28
"105","GRBBR",2017-04-28 16:30:00,15.1,""," ",2017,4,28
