"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2017,12,0.5,3.3,16.6
"2",1,5,2018,11.3,0.6,0.5,16.7
"3",1,6,2017,14,0.4,5.8,18.2
"4",1,6,2018,23.1,0.2,18.5,25.5
"5",1,7,2017,22.8,0.2,18.1,25.1
"6",1,7,2018,23.9,0.3,18.5,27.2
"7",1,8,2017,26.8,0.1,24.4,28.5
"8",1,8,2018,20.3,0.4,12.2,24.4
"9",1,8,2023,20.3,0.3,15.1,23.2
"10",1,9,2017,27.3,0.1,25.2,29.2
"11",1,9,2018,22.6,0.2,18,25.4
"12",1,9,2023,16.9,0.6,6,22.7
"13",1,10,2017,27.4,0.2,24.8,29.3
"14",1,10,2018,18.8,0.4,12.4,22.3
"15",1,10,2023,17.6,0.3,12,21.2
"16",1,11,2017,13.4,0.9,0.2,22.1
"17",2,5,2017,13.4,0.5,3.7,17.4
"18",2,5,2018,11.9,0.5,1.9,16.8
"19",2,6,2017,15.1,0.4,8.5,18.7
"20",2,6,2018,23.8,0.2,19.9,25.7
"21",2,7,2017,22.4,0.2,17.8,25.1
"22",2,7,2018,23.8,0.3,18.9,26.7
"23",2,8,2017,27,0.1,24.5,28.6
"24",2,8,2018,20.7,0.4,14,24.4
"25",2,8,2023,20.6,0.3,15.8,23.4
"26",2,9,2017,27.3,0.2,24.2,29.3
"27",2,9,2018,22.8,0.3,16.8,25.8
"28",2,9,2023,16.7,0.6,6,22.5
"29",2,10,2017,27.5,0.2,24.3,29.6
"30",2,10,2018,19.5,0.3,12.8,22.8
"31",2,10,2023,18.5,0.3,13.1,21.9
"32",2,11,2017,13.4,0.6,2.9,21
"33",3,5,2017,12.6,0.5,2.7,17.5
"34",3,5,2018,13.1,0.4,3.6,17.4
"35",3,6,2017,15.9,0.3,10.3,19
"36",3,6,2018,23.8,0.2,21.2,25.7
"37",3,7,2017,22.5,0.2,18.3,25
"38",3,7,2018,23.8,0.2,19.4,26.5
"39",3,8,2017,27.1,0.1,25,28.7
"40",3,8,2018,20,0.4,9.6,24.4
"41",3,8,2023,20.6,0.3,14.5,23.9
"42",3,9,2017,27.4,0.2,24.2,29.2
"43",3,9,2018,23.3,0.3,17.5,26.2
"44",3,9,2023,18.1,0.5,8.6,23
"45",3,10,2017,27.5,0.2,24.8,29.6
"46",3,10,2018,20.1,0.3,15.5,22.9
"47",3,10,2023,19.3,0.3,14.4,22.4
"48",3,11,2017,13.7,0.5,5,19.5
"49",4,5,2017,11.1,0.5,0.8,17
"50",4,5,2018,14,0.4,5.8,17.7
"51",4,6,2017,16,0.3,10.7,18.8
"52",4,6,2018,24.4,0.2,21.3,26.1
"53",4,7,2017,22.4,0.2,18.3,24.9
"54",4,7,2018,21.5,0.2,17.4,24.7
"55",4,8,2017,27,0.1,24.8,28.8
"56",4,8,2018,17.1,0.7,5.3,24.1
"57",4,8,2023,21.1,0.3,15.2,24.5
"58",4,9,2017,26.2,0.2,19.3,29.1
"59",4,9,2018,23.8,0.2,19.9,26.6
"60",4,9,2023,19.9,0.4,13.5,23.4
"61",4,10,2017,27.1,0.2,22,29.7
"62",4,10,2018,16.6,0.7,9.9,22.1
"63",4,10,2023,20,0.2,15,22.7
"64",4,11,2017,14.6,0.5,6,20.1
"65",5,5,2017,10.9,0.5,2.7,16.8
"66",5,5,2018,14.4,0.4,5.9,18
"67",5,6,2017,15.6,0.3,10.4,19.2
"68",5,6,2018,24.8,0.1,22,26.3
"69",5,7,2017,22,0.2,15.4,24.8
"70",5,7,2018,24.3,0.3,20.8,26.7
"71",5,8,2017,27.2,0.1,24.9,28.8
"72",5,8,2018,17.1,0.7,6.1,23.5
"73",5,8,2023,20.5,0.4,12.8,24.6
