"","StationCode","DateTimeStamp","Sal","RESULTS.VALID","RESULT.COMMENT","Year","Month","Day"
"1","GRBBR",2017-05-01 00:00:00,3.8,""," ",2017,5,1
"2","GRBBR",2017-05-01 00:15:00,4.5,""," ",2017,5,1
"3","GRBBR",2017-05-01 00:30:00,4.7,""," ",2017,5,1
"4","GRBBR",2017-05-01 00:45:00,5.2,""," ",2017,5,1
"5","GRBBR",2017-05-01 01:00:00,5.6,""," ",2017,5,1
"6","GRBBR",2017-05-01 01:15:00,6.8,""," ",2017,5,1
"7","GRBBR",2017-05-01 01:30:00,8,""," ",2017,5,1
"8","GRBBR",2017-05-01 01:45:00,9.6,""," ",2017,5,1
"9","GRBBR",2017-05-01 02:00:00,10.9,""," ",2017,5,1
"10","GRBBR",2017-05-01 02:15:00,12.2,""," ",2017,5,1
"11","GRBBR",2017-05-01 02:30:00,12.7,""," ",2017,5,1
"12","GRBBR",2017-05-01 02:45:00,13.4,""," ",2017,5,1
"13","GRBBR",2017-05-01 03:00:00,13.8,""," ",2017,5,1
"14","GRBBR",2017-05-01 03:15:00,14.3,""," ",2017,5,1
"15","GRBBR",2017-05-01 03:30:00,14.6,""," ",2017,5,1
"16","GRBBR",2017-05-01 03:45:00,14.9,""," ",2017,5,1
"17","GRBBR",2017-05-01 04:00:00,15.2,""," ",2017,5,1
"18","GRBBR",2017-05-01 04:15:00,15.6,""," ",2017,5,1
"19","GRBBR",2017-05-01 04:30:00,15.8,""," ",2017,5,1
"20","GRBBR",2017-05-01 04:45:00,16,""," ",2017,5,1
"21","GRBBR",2017-05-01 05:00:00,16.1,""," ",2017,5,1
"22","GRBBR",2017-05-01 05:15:00,16.2,""," ",2017,5,1
"23","GRBBR",2017-05-01 05:30:00,16.3,""," ",2017,5,1
"24","GRBBR",2017-05-01 05:45:00,16.3,""," ",2017,5,1
"25","GRBBR",2017-05-01 06:00:00,16.3,""," ",2017,5,1
"26","GRBBR",2017-05-01 06:15:00,16.2,""," ",2017,5,1
"27","GRBBR",2017-05-01 06:30:00,16.2,""," ",2017,5,1
