"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2015,26.8,0.4,23.6,28.8
"2",1,5,2016,27.2,0.2,26,28.2
"3",1,5,2017,26.3,0.4,22.9,28.6
"4",1,5,2019,27.4,0.5,23.2,30.4
"5",1,5,2020,28.5,0.3,25.5,30.5
"6",1,5,2021,31.1,0.2,28.9,32.5
"7",1,6,2015,30.5,0.1,29.6,31.1
"8",1,6,2016,30,0.1,29.4,30.5
"9",1,6,2017,27,0.4,24,29.2
"10",1,6,2019,28.9,0.2,26.6,30.2
"11",1,6,2020,28.9,0.2,27.6,29.8
"12",1,6,2021,31.3,0.1,30.4,32
"13",1,7,2015,28.7,0.2,27.3,29.7
"14",1,7,2017,29.5,0.1,28.2,30.5
"15",1,7,2019,29.2,0.2,27.3,30.5
"16",1,7,2020,30.6,0,30.3,31
"17",1,7,2021,32.3,0,32,32.5
"18",1,8,2015,30.6,0.1,30,31
"19",1,8,2016,30.4,0,30.2,30.6
"20",1,8,2017,30.1,0,29.8,30.5
"21",1,8,2019,30.6,0.3,29.9,31.2
"22",1,8,2020,31.5,0,31.2,31.8
"23",1,8,2021,29.1,0.4,25.3,31.8
"24",1,9,2015,30.8,0.1,30.5,31.1
"25",1,9,2016,31.6,0,31.5,31.7
"26",1,9,2017,30.4,0,30.1,30.9
"27",1,9,2020,31.8,0,31.6,31.9
"28",1,9,2021,30.9,0.3,29.2,32.1
"29",1,10,2015,30.7,0,30.3,31
"30",1,10,2016,31.7,0,31.6,31.8
"31",1,10,2017,29.9,0,29.6,30.1
"32",1,10,2020,32.1,0,31.9,32.2
"33",1,11,2015,30.9,0.1,29.8,31.7
"34",1,11,2016,30.3,0.1,29.9,31
"35",1,11,2017,28.7,0.4,25.4,31.2
"36",2,5,2015,27.1,0.4,24,29.3
"37",2,5,2016,27.3,0.2,25.9,28.4
"38",2,5,2017,26.3,0.3,23.2,28.1
"39",2,5,2019,27.5,0.5,23.4,30.4
"40",2,5,2020,27.9,0.5,23.8,30.5
"41",2,5,2021,31.1,0.3,29,32.5
"42",2,6,2015,30.2,0.1,29.2,31
"43",2,6,2016,29.9,0.1,29.3,30.4
"44",2,6,2017,27.3,0.4,24.4,29.6
"45",2,6,2019,28.9,0.2,26.6,30.2
"46",2,6,2020,29,0.1,28.1,29.8
"47",2,6,2021,31.2,0.1,30.1,31.9
"48",2,7,2015,28.8,0.2,27,29.9
"49",2,7,2017,29.7,0.1,28.4,30.6
"50",2,7,2019,29,0.2,27.2,30
"51",2,7,2020,30.6,0.1,30,31.1
"52",2,7,2021,32.2,0,31.9,32.5
"53",2,8,2015,30.6,0.1,30.1,31
"54",2,8,2016,30.3,0,30.1,30.5
"55",2,8,2017,30.1,0,29.7,30.4
"56",2,8,2019,30,0.8,10.9,31.4
"57",2,8,2020,31.5,0,31.2,31.7
"58",2,8,2021,29.3,0.4,25.6,31.7
"59",2,9,2015,30.7,0,30.4,31
"60",2,9,2016,31.6,0,31.5,31.7
"61",2,9,2017,30.4,0,30,30.7
"62",2,9,2020,31.8,0,31.6,31.9
"63",2,9,2021,31.4,0.3,30.1,32
"64",2,10,2015,30.4,0.1,29.8,30.8
"65",2,10,2016,31.6,0,31.5,31.7
"66",2,10,2017,29.9,0,29.6,30.1
"67",2,10,2020,32.1,0,32,32.3
"68",2,11,2015,30.9,0.1,29.7,31.7
"69",2,11,2016,30.3,0,30,30.6
"70",2,11,2017,28.8,0.4,25.6,31.1
"71",3,5,2015,27.5,0.4,24.2,29.7
"72",3,5,2016,27.2,0.1,26.1,28
"73",3,5,2017,25.8,0.4,22.5,28.5
"74",3,5,2019,26.7,0.5,22.8,29.1
"75",3,5,2020,27.7,0.5,24,30.4
"76",3,5,2021,31.2,0.4,29.1,32.5
"77",3,6,2015,29.9,0.2,28.4,30.7
"78",3,6,2016,29.8,0.1,29.2,30.3
"79",3,6,2017,27.6,0.4,24.9,29.8
"80",3,6,2019,27.7,1.1,10.4,30.3
"81",3,6,2020,29,0.1,28.2,29.7
"82",3,6,2021,31.2,0.1,30.2,31.9
"83",3,7,2015,28.9,0.2,27,30
"84",3,7,2017,29.6,0.2,28.3,30.6
"85",3,7,2019,29.1,0.2,27.3,30.6
"86",3,7,2020,30.6,0.1,29.9,31.2
"87",3,7,2021,32,0,31.8,32.2
"88",3,8,2015,30.7,0.1,30.3,31
"89",3,8,2016,30.3,0,30.1,30.4
"90",3,8,2017,30,0.1,29.7,30.3
"91",3,8,2019,30.9,0.1,30.1,31.4
"92",3,8,2020,31.5,0,31.3,31.8
"93",3,8,2021,29.4,0.4,25.5,31.9
"94",3,9,2015,30.6,0,30.3,30.9
"95",3,9,2016,31.6,0,31.5,31.6
"96",3,9,2017,30.6,0,30.2,30.9
"97",3,9,2020,31.7,0,31.6,31.8
"98",3,10,2015,30.2,0.1,29.4,30.7
"99",3,10,2016,31.6,0,31.5,31.7
"100",3,10,2017,29.9,0,29.7,30.1
"101",3,10,2020,32.2,0,32,32.3
"102",3,11,2015,30.9,0.2,29.4,31.7
"103",3,11,2016,30.6,0.1,29.9,31.5
"104",3,11,2017,28.9,0.4,25.8,31.2
"105",4,5,2015,27.7,0.4,24.4,29.8
"106",4,5,2016,27.2,0.1,26,28
"107",4,5,2017,26.7,0.5,23.3,29.3
"108",4,5,2019,26.3,0.5,22.4,28.8
"109",4,5,2020,27.6,0.5,23.8,30.4
"110",4,5,2021,30.9,0.3,28.5,32.5
"111",4,6,2015,29.7,0.2,27.8,30.6
"112",4,6,2016,30,0.1,29.3,30.5
"113",4,6,2017,27.8,0.3,25.2,29.8
"114",4,6,2019,29.5,0.4,28.5,30.4
"115",4,6,2020,29.1,0.1,28.3,29.7
"116",4,6,2021,31.1,0.1,30,31.9
"117",4,7,2015,28.8,0.2,27,29.9
"118",4,7,2017,29.5,0.2,28.3,30.5
"119",4,7,2019,29.3,0.2,27.5,30.4
"120",4,7,2020,30.6,0.1,29.9,31.1
"121",4,7,2021,31.9,0,31.5,32.2
"122",4,8,2015,30.8,0,30.4,31.1
"123",4,8,2016,30.3,0,30.1,30.5
"124",4,8,2017,22.8,0.3,18,24.1
"125",4,8,2019,30.9,0.1,30.2,31.4
"126",4,8,2020,31.6,0,31.4,31.9
"127",4,8,2021,29.7,0.4,26.2,31.8
"128",4,9,2015,30.4,0,30.2,30.7
"129",4,9,2016,31.5,0,31.5,31.7
"130",4,9,2017,30.5,0,30.2,30.9
