"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2015,16.5,0.1,15.4,17.8
"2",1,5,2016,23.7,0,22.8,24.3
"3",1,5,2017,17.1,0.1,15.6,18.8
"4",1,5,2018,17,0.1,15.4,18.7
"5",1,5,2019,12.2,0.1,10.4,13.6
"6",1,5,2021,24.1,0.2,4.6,26
"7",1,5,2022,20.4,0.1,18.8,21.9
"8",1,5,2023,17.4,0.1,15.9,18.9
"9",1,6,2015,28.4,0.1,27.3,29
"10",1,6,2016,27.6,0,26.9,28.3
"11",1,6,2017,18.7,0.1,17.7,19.8
"12",1,6,2018,25.6,0,24.5,26.3
"13",1,6,2019,21.9,0,21.2,22.5
"14",1,6,2020,25.3,0.1,23.8,26.5
"15",1,6,2021,26.8,0.1,25,27.8
"16",1,6,2022,25.8,0,25.2,26.5
"17",1,6,2023,21.2,0.1,20.3,22.8
"18",1,7,2015,25.4,0,24.2,25.9
"19",1,7,2016,30,0,28.6,30.5
"20",1,7,2017,25.9,0,25.1,26.3
"21",1,7,2018,27.7,0.1,24.4,28.5
"22",1,7,2019,23.5,0,22.7,24.3
"23",1,7,2020,28.3,0,27.5,29.1
"24",1,7,2021,30.4,0,30.1,30.7
"25",1,7,2022,28.5,0,28.2,28.7
"26",1,7,2023,20.5,0,19.8,21.4
"27",1,8,2015,29.3,0,28.9,29.7
"28",1,8,2016,26.8,0.4,22.1,30.1
"29",1,8,2017,28.5,0,28.2,28.9
"30",1,8,2018,25.6,0.1,23.4,26.4
"31",1,8,2019,26.6,0,25.9,27.5
"32",1,8,2020,29.7,0,29.4,30
"33",1,8,2021,18.3,0,17.7,18.8
"34",1,8,2022,30.5,0,30.3,30.7
"35",1,8,2023,22.8,0.1,21.4,24.4
"36",1,9,2015,30.7,0,30.4,31
"37",1,9,2016,31.4,0,31.2,31.5
"38",1,9,2017,29.2,0,28.6,29.6
"39",1,9,2018,25.5,0.1,24.5,26.6
"40",1,9,2019,27.7,0,27.1,28.2
"41",1,9,2020,30.9,0,30.7,31
"42",1,9,2021,23.9,0,23,24.8
"43",1,9,2022,30.5,0,30.5,30.6
"44",1,9,2023,22.9,0.1,21.7,24.2
"45",1,10,2015,28.9,0.1,25.9,30.3
"46",1,10,2016,32,0,31.6,32.1
"47",1,10,2017,29.6,0,28.9,30
"48",1,10,2018,22.3,0.1,21.1,23.7
"49",1,10,2019,30.5,0,30.2,30.8
"50",1,10,2020,31.6,0,31.5,31.7
"51",1,10,2021,25.4,0.1,24.5,26.2
"52",1,10,2022,29.8,0,29.2,30.2
"53",1,11,2015,27.8,0,27.3,28
"54",1,11,2016,26.2,0.1,24.8,26.9
"55",1,11,2017,22.8,0.1,21.6,24.3
"56",1,11,2018,21.3,0.1,19.7,22.5
"57",1,11,2019,24.2,0.1,22.7,24.9
"58",1,11,2020,29.5,0,28.8,29.8
"59",1,11,2021,19.9,0.1,17.8,22.4
"60",1,11,2022,26,0,25.3,26.7
"61",1,11,2023,23.6,0.1,22.1,24.7
"62",2,5,2015,16.8,0.1,15.6,18.1
"63",2,5,2016,23.7,0.1,22.8,24.5
"64",2,5,2017,17.6,0.1,16,19.2
"65",2,5,2018,17.2,0.1,15.8,18.8
"66",2,5,2019,12.6,0.1,11,14.2
"67",2,5,2021,24.2,0.1,22.6,25.3
"68",2,5,2022,20.9,0.1,19.5,22.3
"69",2,5,2023,14.5,0.1,12.6,16.1
"70",2,6,2015,27.9,0.1,26.5,29.1
"71",2,6,2016,27.8,0,27.2,28.6
"72",2,6,2017,18.8,0.1,17.7,19.6
"73",2,6,2018,25.7,0,25.1,26.4
"74",2,6,2019,22,0,21.3,22.6
"75",2,6,2020,25.8,0.1,24.6,27.3
"76",2,6,2021,26.2,0,25.2,26.9
"77",2,6,2022,26,0,25.3,26.7
"78",2,6,2023,21.9,0.1,20.8,23.5
"79",2,7,2015,24.8,0.1,23.5,25.6
"80",2,7,2016,30.2,0,29.9,30.5
"81",2,7,2017,25.8,0,25.2,26.2
"82",2,7,2018,27.5,0,26.8,28.2
"83",2,7,2019,23.6,0,22.9,24.5
"84",2,7,2020,27.9,0,27.3,28.4
"85",2,7,2021,30.3,0,29.5,30.6
"86",2,7,2022,28.6,0,28.3,29
"87",2,7,2023,20.1,0.1,19,21.5
"88",2,8,2015,29.4,0,29,29.8
"89",2,8,2016,29.7,0,29.4,30
"90",2,8,2017,28.6,0.1,23.2,29
"91",2,8,2018,25.7,0,24.9,26.4
"92",2,8,2019,27,0,26.3,27.9
"93",2,8,2020,29.8,0,29.6,30.1
"94",2,8,2021,17.7,0,17,18.3
"95",2,8,2022,30.5,0,30.3,30.7
"96",2,8,2023,23.2,0.1,21.9,24.9
"97",2,9,2015,30.8,0,30.6,31.2
"98",2,9,2016,31.5,0,31.4,31.5
"99",2,9,2017,29.2,0,27.8,29.7
