"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2023,21.4,0.3,15.3,26.8
"2",1,6,2023,26.2,0.3,22.6,30.4
"3",1,7,2023,24.2,0.3,20.7,28.4
"4",1,8,2017,29.7,0,29.1,30.3
"5",1,8,2023,27.1,0.2,23.9,30.6
"6",1,9,2017,30.3,0,28.7,31
"7",1,9,2023,26.7,0.2,23.7,29.9
"8",1,10,2017,30.7,0,30.2,31.2
"9",1,10,2023,26,0.2,22.6,29.1
"10",1,11,2017,25.3,0.3,21.7,30
"11",1,11,2023,27.4,0.2,24.6,30.3
"12",2,5,2023,17.6,0.5,11.8,25.1
"13",2,6,2023,26.7,0.2,23.3,30.5
"14",2,7,2023,24.2,0.3,20.7,28.5
"15",2,8,2017,29.8,0,28.7,30.4
"16",2,8,2023,27.4,0.2,24.5,30.5
"17",2,9,2017,30.4,0,29.8,30.9
"18",2,9,2023,27,0.2,23.9,29.8
"19",2,10,2017,30.7,0,30.2,31.2
"20",2,10,2023,26.2,0.2,23.2,29.2
"21",2,11,2017,26,0.4,21.7,30.1
"22",2,11,2023,27.1,0.2,24.1,30
"23",3,5,2023,17.1,0.6,11,25.8
"24",3,6,2023,27.2,0.2,23.9,30.8
"25",3,7,2023,23.1,0.3,18.5,28.2
"26",3,8,2017,29.8,0,29.1,30.4
"27",3,8,2023,27.8,0.2,25,30.5
"28",3,9,2017,30.5,0,30,31
"29",3,9,2023,27.3,0.2,24.4,30.3
"30",3,10,2017,30.8,0,30.3,31.2
"31",3,10,2023,26.5,0.2,23.7,29.3
"32",3,11,2023,26.8,0.2,24,29.8
"33",4,5,2023,17,0.5,10.6,25.2
"34",4,6,2023,27.6,0.2,24.6,30.6
"35",4,7,2023,21.5,0.4,16.3,27.8
"36",4,8,2017,29.9,0,29.2,30.5
"37",4,8,2023,28.3,0.2,25.4,30.9
"38",4,9,2017,30.5,0,29.9,31
"39",4,9,2023,27.6,0.2,24.7,30.3
"40",4,10,2017,30.9,0,30.3,31.3
"41",4,10,2023,26.6,0.2,23.6,29.4
"42",4,11,2023,26.5,0.2,23.7,29.6
"43",5,5,2023,17.3,0.6,10.5,25.8
"44",5,6,2023,27.8,0.2,25,30.6
"45",5,7,2023,21.3,0.4,15.6,27.5
"46",5,8,2017,30,0,29.2,30.6
"47",5,8,2023,28.5,0.2,25,31
"48",5,9,2017,30.6,0,29.8,31.1
"49",5,9,2023,27.8,0.2,25,30.2
"50",5,10,2017,31,0,30.4,31.4
"51",5,10,2023,26.6,0.2,24,29.1
"52",5,11,2023,26.7,0.2,23.6,29.8
"53",6,5,2023,17.8,0.5,10.6,25.5
"54",6,6,2023,27.9,0.2,24.9,30.5
"55",6,7,2023,21.6,0.4,15.7,28
