"","StationCode","DateTimeStamp","Sal","RESULTS.VALID","RESULT.COMMENT","Year","Month","Day"
"1","GRBLPR",2017-07-11 10:00:00,27,"","<0> (CND) NEW DEPLOYMENT",2017,7,11
"2","GRBLPR",2017-07-11 10:15:00,26.8,""," ",2017,7,11
"3","GRBLPR",2017-07-11 10:30:00,26.9,""," ",2017,7,11
"4","GRBLPR",2017-07-11 10:45:00,27,""," ",2017,7,11
"5","GRBLPR",2017-07-11 11:00:00,27.2,""," ",2017,7,11
"6","GRBLPR",2017-07-11 11:15:00,27.4,""," ",2017,7,11
"7","GRBLPR",2017-07-11 11:30:00,27.5,""," ",2017,7,11
"8","GRBLPR",2017-07-11 11:45:00,27.7,""," ",2017,7,11
"9","GRBLPR",2017-07-11 12:00:00,27.8,""," ",2017,7,11
"10","GRBLPR",2017-07-11 12:15:00,28.2,""," ",2017,7,11
"11","GRBLPR",2017-07-11 12:30:00,28.4,""," ",2017,7,11
"12","GRBLPR",2017-07-11 12:45:00,28.6,""," ",2017,7,11
"13","GRBLPR",2017-07-11 13:00:00,28.9,""," ",2017,7,11
"14","GRBLPR",2017-07-11 13:15:00,29,""," ",2017,7,11
"15","GRBLPR",2017-07-11 13:30:00,29.2,""," ",2017,7,11
"16","GRBLPR",2017-07-11 13:45:00,29.2,""," ",2017,7,11
"17","GRBLPR",2017-07-11 14:00:00,29.6,""," ",2017,7,11
"18","GRBLPR",2017-07-11 14:15:00,29.6,""," ",2017,7,11
"19","GRBLPR",2017-07-11 14:30:00,29.8,""," ",2017,7,11
"20","GRBLPR",2017-07-11 14:45:00,29.9,""," ",2017,7,11
"21","GRBLPR",2017-07-11 15:00:00,29.9,""," ",2017,7,11
"22","GRBLPR",2017-07-11 15:15:00,30,""," ",2017,7,11
"23","GRBLPR",2017-07-11 15:30:00,30.2,""," ",2017,7,11
"24","GRBLPR",2017-07-11 15:45:00,30.2,""," ",2017,7,11
"25","GRBLPR",2017-07-11 16:00:00,30.2,""," ",2017,7,11
"26","GRBLPR",2017-07-11 16:15:00,30.3,""," ",2017,7,11
"27","GRBLPR",2017-07-11 16:30:00,30.1,""," ",2017,7,11
"28","GRBLPR",2017-07-11 16:45:00,29.9,""," ",2017,7,11
"29","GRBLPR",2017-07-11 17:00:00,29.7,""," ",2017,7,11
"30","GRBLPR",2017-07-11 17:15:00,29.5,""," ",2017,7,11
"31","GRBLPR",2017-07-11 17:30:00,29.1,""," ",2017,7,11
"32","GRBLPR",2017-07-11 17:45:00,29.1,""," ",2017,7,11
"33","GRBLPR",2017-07-11 18:00:00,29,""," ",2017,7,11
"34","GRBLPR",2017-07-11 18:15:00,29,""," ",2017,7,11
"35","GRBLPR",2017-07-11 18:30:00,28.9,""," ",2017,7,11
"36","GRBLPR",2017-07-11 18:45:00,28.7,""," ",2017,7,11
"37","GRBLPR",2017-07-11 19:00:00,28.7,""," ",2017,7,11
"38","GRBLPR",2017-07-11 19:15:00,28.6,""," ",2017,7,11
