"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2015,0.1,0,0.1,0.1
"2",1,5,2016,8.8,0.6,0.9,16.6
"3",1,5,2017,0.1,0,0.1,0.1
"4",1,5,2018,0.1,0,0.1,0.1
"5",1,5,2019,0.1,0,0.1,0.1
"6",1,5,2021,4.2,0.6,0.1,17.6
"7",1,5,2022,2,0.3,0.1,10.5
"8",1,5,2023,0.1,0,0.1,0.1
"9",1,6,2015,18.9,0.4,4.8,22
"10",1,6,2016,18.7,0.3,4.4,21.3
"11",1,6,2017,1.7,0.3,0.1,8.3
"12",1,6,2018,15.6,0.4,2.7,18.8
"13",1,6,2019,8.1,0.6,0.6,15.9
"14",1,6,2020,17.4,0.3,5,19.2
"15",1,6,2021,5.4,0.7,0.1,18
"16",1,6,2022,15.4,0.5,2.7,19.8
"17",1,6,2023,8.2,0.5,1.1,13.8
"18",1,7,2015,6.8,0.6,0.4,16.6
"19",1,7,2016,25.5,0,24.7,26.1
"20",1,7,2017,13.9,0.6,1.3,19.5
"21",1,7,2018,6.4,0.8,0.1,20.5
"22",1,7,2019,13.1,0.6,1.9,18.8
"23",1,7,2020,14.4,0.8,1.7,25
"24",1,7,2021,26.3,0,25.5,26.7
"25",1,7,2022,24,0,23,24.7
"26",1,7,2023,0.1,0,0.1,0.1
"27",1,8,2015,24.4,0,23.5,25.3
"28",1,8,2016,27.2,0,26.4,28
"29",1,8,2017,23.4,0,23.1,23.7
"30",1,8,2018,5.3,0.6,0.1,16.9
"31",1,8,2019,19.8,0.1,17.9,21.4
"32",1,8,2020,25.2,0,24.5,25.7
"33",1,8,2021,0.1,0,0.1,0.1
"34",1,8,2022,26.4,0,25.8,26.8
"35",1,8,2023,10,0.5,1.2,16.7
"36",1,9,2015,25.6,0.1,24.4,26.5
"37",1,9,2016,29.6,0,29.3,30
"38",1,9,2017,25.8,0,25.6,26
"39",1,9,2018,15.7,0.4,3.6,18.3
"40",1,9,2019,17.4,0.4,9.6,22
"41",1,9,2020,24.9,0.5,5.2,28.1
"42",1,9,2021,16,0.6,2.5,20.1
"43",1,9,2022,27.6,0,26.9,28
"44",1,9,2023,4.9,0.5,0.2,14.9
"45",1,10,2015,10.9,0.9,0.4,22.7
"46",1,10,2016,19.3,0.1,18.6,20.4
"47",1,10,2017,26,0,25.6,26.2
"48",1,10,2018,2.5,0.4,0.1,12.4
"49",1,10,2019,26.9,0,26.1,27.4
"50",1,10,2020,28.7,0,28.3,28.9
"51",1,10,2021,19.7,0.3,4.9,21.5
"52",1,10,2022,23,0.1,21.7,24.1
"53",1,10,2023,5.5,0.4,0.4,12.2
"54",1,11,2015,12.4,0.8,0.9,20.7
"55",1,11,2016,6.3,0.6,0,19.6
"56",1,11,2017,0.1,0,0.1,0.1
"57",1,11,2018,0.1,0,0.1,0.1
"58",1,11,2019,4.9,0.6,0.1,14.4
"59",1,11,2020,20.5,0.4,4.8,23.1
"60",1,11,2021,0.1,0,0.1,0.1
"61",1,11,2022,16.1,0.5,3,20.7
"62",1,11,2023,5,0.7,0.1,17.7
"63",2,5,2015,0.2,0,0.1,2.2
"64",2,5,2016,8.9,0.5,1.2,15.9
"65",2,5,2017,0.1,0,0.1,0.1
