"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2015,13,0.2,9.5,15.5
"2",1,5,2016,15.9,0.8,0,22.3
"3",1,5,2017,12.4,0.4,2.9,15.7
"4",1,5,2018,12.2,0.4,0.7,15.7
"5",1,5,2019,6.9,0.3,1,10.9
"6",1,5,2021,19.9,0.7,0.7,24.3
"7",1,5,2022,16.9,0.2,12.6,19.2
"8",1,5,2023,7.9,0.8,0.1,17.2
"9",1,6,2015,20.9,0.2,17.5,23.3
"10",1,6,2016,25.2,0.2,19.8,27.1
"11",1,6,2017,15.1,0.3,9,17.7
"12",1,6,2018,23.7,0.1,20.3,25.2
"13",1,6,2019,18.8,0.2,15.4,20.8
"14",1,6,2020,23.9,0.1,20.8,25.3
"15",1,6,2021,21.4,0.6,4.7,25.8
"16",1,6,2022,23.3,0.2,18.9,25.2
"17",1,6,2023,18.2,0.2,14.8,20.6
"18",1,7,2015,21.5,0.2,16.6,24.6
"19",1,7,2016,28,0.1,24.6,30
"20",1,7,2017,23,0.2,16.7,25.3
"21",1,7,2018,25,0.1,21.8,26.9
"22",1,7,2019,21,0.2,18.7,22.6
"23",1,7,2020,17.7,1,0.4,27.2
"24",1,7,2021,29.5,0.1,28.2,30.3
"25",1,7,2022,27,0.1,24.7,28.1
"26",1,7,2023,16,0.2,11,19.5
"27",1,8,2015,28.1,0.1,24.1,29.2
"28",1,8,2016,29,0.1,26.1,30.9
"29",1,8,2017,26.9,0.1,25.2,28.1
"30",1,8,2018,22.9,0.2,19.5,24.8
"31",1,8,2019,25,0.1,20.6,26.4
"32",1,8,2020,28.5,0.1,26.3,29.7
"33",1,8,2021,14.8,0.1,10.5,16.6
"34",1,8,2022,29.5,0.1,28.1,30.3
"35",1,8,2023,20.6,0.1,16.9,22.3
"36",1,9,2015,28.6,0.1,26.9,29.7
"37",1,9,2016,30.9,0.1,29.4,31.5
"38",1,9,2017,28.1,0.1,26.7,29.2
"39",1,9,2018,23.5,0.1,20.1,25.2
"40",1,9,2019,24,0.4,14.7,27.3
"41",1,9,2020,29.2,0.1,24.8,30.6
"42",1,9,2021,22.1,0.1,21.1,23.2
"43",1,9,2022,29,0.1,27,30.4
"44",1,9,2023,19.5,0.3,10.2,22.3
"45",1,10,2015,24.4,0.5,12.1,28.5
"46",1,10,2016,29.4,0.2,24.9,31.3
"47",1,10,2017,27.7,0.1,26.3,28.9
"48",1,10,2018,19.3,0.2,14,21.6
"49",1,10,2019,29.2,0.1,26.2,30.5
"50",1,10,2020,30,0.1,28.6,31.1
"51",1,10,2021,23.5,0.1,22,24.9
"52",1,10,2022,28.5,0.1,26.1,29.7
"53",1,10,2023,18.2,0.2,12.8,20.4
"54",1,11,2015,25.6,0.2,21.2,27.4
"55",1,11,2016,24.2,0.1,20.6,26.1
"56",1,11,2017,18.7,0.4,8.3,23.1
"57",1,11,2018,15.7,0.5,4.3,20.1
"58",1,11,2019,18.3,0.6,0.9,23.2
"59",1,11,2020,27.2,0.1,24.6,29
"60",1,11,2021,13.2,0.8,0.1,21.9
"61",1,11,2022,24.3,0.1,21.4,25.7
