"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2015,9.1,0.5,0.8,15.2
"2",1,5,2016,16.7,0.5,7.2,22.5
"3",1,5,2017,8.9,0.5,0.3,15.3
"4",1,5,2018,8.1,0.6,0.2,15.4
"5",1,5,2019,5.1,0.4,0.1,10.8
"6",1,5,2021,15.2,0.8,0.8,23.9
"7",1,5,2022,12,0.6,1.1,18.8
"8",1,5,2023,10.1,0.7,0.2,18.3
"9",1,6,2015,21.5,0.4,13.4,26.7
"10",1,6,2016,21.9,0.4,13.1,26.4
"11",1,6,2017,12.1,0.6,1,17.6
"12",1,6,2018,19.8,0.5,9,25.1
"13",1,6,2019,15,0.5,6,20.9
"14",1,6,2020,20.3,0.4,11.9,24.8
"15",1,6,2021,18.1,0.8,3.6,26
"16",1,6,2022,19.6,0.5,10.4,24.8
"17",1,6,2023,15.2,0.4,7.1,20.4
"18",1,7,2015,17.2,0.7,4.8,25.2
"19",1,7,2016,27.1,0.3,21.1,29.7
"20",1,7,2017,19.9,0.5,8.5,25.2
"21",1,7,2018,19.9,0.7,7,27.2
"22",1,7,2019,17.2,0.5,7.5,22.6
"23",1,7,2020,23.4,0.4,14.8,27.8
"24",1,7,2021,28,0.3,21.9,30.2
"25",1,7,2022,25.3,0.3,18.1,28.2
"26",1,7,2023,11.6,0.6,0.6,19.4
"27",1,8,2016,28.5,0.2,23.6,30.4
"28",1,8,2017,24.1,0.4,3.9,28.1
"29",1,8,2018,18.2,0.6,6.8,24.9
"30",1,8,2019,22,0.5,12.2,26.1
"31",1,8,2020,27.3,0.2,21.2,29.4
"32",1,8,2021,12.3,0.5,2.5,17.4
"33",1,8,2022,28.3,0.3,22.1,30.4
"34",1,8,2023,15.7,0.6,4.7,21.6
"35",1,9,2015,23.2,0.2,18.1,25.5
"36",1,9,2016,30.7,0.1,27.3,31.9
"37",1,9,2017,25.4,0.3,18.7,28.9
"38",1,9,2018,20.3,0.4,11.6,24.7
"39",1,9,2019,22.1,0.6,10.6,27.2
"40",1,9,2020,29,0.2,23.7,30.8
"41",1,9,2021,19.6,0.3,11.3,23.1
"42",1,9,2022,29.3,0.2,25.3,30.6
"43",1,9,2023,15,0.7,3,22.1
"44",1,10,2015,24.7,0.4,16.3,28.7
"45",1,10,2016,29.5,0.1,25.9,31.3
"46",1,10,2017,25.6,0.3,19.2,29
"47",1,10,2018,14.2,0.6,2.7,21.1
"48",1,10,2019,28.2,0.3,21.8,30.4
"49",1,10,2020,30.2,0.1,26.4,31.5
"50",1,10,2021,20.2,0.4,11.6,24.5
"51",1,10,2022,26,0.3,18.8,29.1
"52",1,10,2023,13.2,0.6,1.9,20.1
"53",1,11,2015,22.6,0.5,12.5,27.4
"54",1,11,2016,19.5,0.5,9.5,25.5
"55",1,11,2017,13.4,0.8,2.3,22.8
"56",1,11,2018,13,0.7,1.1,20.2
"57",1,11,2019,17,0.7,4.4,23.8
"58",1,11,2020,24.1,0.5,15.8,29
"59",1,11,2021,12.8,0.8,0.7,21.8
"60",1,11,2022,21,0.4,11.6,25.2
"61",1,11,2023,15.4,0.7,2.7,22.6
"62",2,5,2015,9.5,0.5,1.1,15.5
"63",2,5,2016,16.2,0.5,7.4,22.3
"64",2,5,2017,9.9,0.5,0.3,16.1
"65",2,5,2018,9.4,0.6,0.2,15.9
"66",2,5,2019,4.5,0.4,0.1,10.5
"67",2,5,2021,16.8,0.6,3.4,23.5
"68",2,5,2022,12.2,0.6,1.6,19.1
"69",2,5,2023,8.7,0.6,0.3,16.2
"70",2,6,2015,15.5,0.8,1.4,25.2
"71",2,6,2016,22,0.4,13.4,27.2
"72",2,6,2017,12.6,0.5,2.6,17.5
"73",2,6,2018,20.2,0.5,10,25.1
"74",2,6,2019,14.8,0.5,5.6,20.7
"75",2,6,2020,20.6,0.5,11.8,25.3
"76",2,6,2021,18.4,0.7,5.9,25.4
"77",2,6,2022,19.9,0.5,10.5,25
"78",2,6,2023,15.6,0.4,6.7,20.5
"79",2,7,2015,16.4,0.8,2.6,24.9
"80",2,7,2016,27,0.3,20.6,30
"81",2,7,2017,19.9,0.5,9.1,25.1
"82",2,7,2018,19.8,0.6,7.6,26.6
"83",2,7,2019,17.3,0.5,6.5,22.9
"84",2,7,2020,23.1,0.4,14.1,27.5
"85",2,7,2021,26.8,0.3,20.3,29.7
"86",2,7,2022,25.7,0.3,18.7,28.4
"87",2,7,2023,10.9,0.6,0.9,19.4
"88",2,8,2016,28.6,0.2,23.6,30.4
"89",2,8,2017,24.6,0.4,17.3,28.3
"90",2,8,2018,19.1,0.6,8.4,24.8
"91",2,8,2019,22.5,0.5,12.6,26.5
"92",2,8,2020,27.5,0.2,21.4,29.5
"93",2,8,2021,11.8,0.5,2.9,16.6
"94",2,8,2022,28.6,0.2,22.9,30.6
"95",2,8,2023,16.3,0.6,4.4,22.4
"96",2,9,2015,25.7,0.3,19.2,29.7
"97",2,9,2016,30.7,0.1,27.5,31.9
"98",2,9,2017,25.3,0.4,18.3,28.9
"99",2,9,2018,21,0.4,11.6,25.2
"100",2,9,2019,22.7,0.5,11.4,27.3
"101",2,9,2020,28.9,0.2,24,30.7
"102",2,9,2021,16,0.6,2,22.4
"103",2,9,2022,29.4,0.2,25.5,30.6
"104",2,9,2023,15.5,0.7,2.9,22.3
"105",2,10,2015,24.1,0.4,15.2,28.1
"106",2,10,2016,29.4,0.1,25.9,31.9
"107",2,10,2017,25.9,0.3,19.2,29.1
"108",2,10,2018,13.8,0.6,2.7,21
"109",2,10,2019,28.4,0.3,22.1,30.4
"110",2,10,2020,30.3,0.1,27,31.5
"111",2,10,2021,20.1,0.4,12.2,24.5
"112",2,10,2022,26.4,0.3,18.4,29
"113",2,10,2023,13.8,0.6,2.4,20.3
"114",2,11,2015,22.2,0.5,12.7,27
"115",2,11,2016,19.7,0.5,10.3,25.2
"116",2,11,2017,11.5,0.7,1.2,20.3
"117",2,11,2018,12.4,0.7,1.2,20
"118",2,11,2019,16.5,0.6,5.3,23
"119",2,11,2020,23.7,0.5,12.9,29
"120",2,11,2021,8.5,0.6,0.2,16.9
"121",2,11,2022,20.7,0.4,12.3,25.2
"122",2,11,2023,17.1,0.6,4.5,22.6
"123",3,5,2015,9.8,0.5,1,16
"124",3,5,2016,15.8,0.6,5.3,22.7
"125",3,5,2017,10.6,0.6,0.2,16.2
"126",3,5,2018,9.8,0.6,0.3,15.9
"127",3,5,2019,5.4,0.4,0.1,11.6
"128",3,5,2021,16.1,0.6,4.3,23
"129",3,5,2022,12.5,0.6,0,19.4
"130",3,5,2023,4,0.5,0.1,12.8
"131",3,6,2015,14.9,1,0.6,25.5
"132",3,6,2016,22.3,0.4,13,26.8
"133",3,6,2017,12.4,0.5,3.4,17.6
"134",3,6,2018,20.9,0.5,10.6,25
"135",3,6,2019,15.3,0.6,4.3,21.3
"136",3,6,2020,16.4,0.4,8.2,24.9
"137",3,6,2021,18.8,0.6,7.3,25
"138",3,6,2022,20.1,0.4,10,24.9
"139",3,6,2023,14.8,0.4,6.7,20.4
"140",3,7,2015,15.8,0.7,2.8,24.2
"141",3,7,2016,26.7,0.3,19.9,29.7
"142",3,7,2017,19.6,0.5,9.7,24.9
"143",3,7,2018,20.3,0.6,8.8,26.5
"144",3,7,2019,17.5,0.6,6.6,23
"145",3,7,2020,23.4,0.4,14.8,27
"146",3,7,2021,25.2,0.4,17,29.4
"147",3,7,2022,25.8,0.3,19.3,28.5
"148",3,7,2023,8.6,0.7,0.2,18.6
"149",3,8,2016,28.8,0.2,24,30.5
"150",3,8,2017,24.8,0.3,17.9,28.3
"151",3,8,2018,19.1,0.5,6.9,24.7
"152",3,8,2019,23,0.5,13,26.9
"153",3,8,2020,27.7,0.2,21.9,29.6
"154",3,8,2021,11.3,0.5,2.6,16.4
"155",3,8,2022,28.7,0.2,22.9,30.6
"156",3,8,2023,17.3,0.6,5.1,23
"157",3,9,2015,28.3,0.2,23.2,29.8
"158",3,9,2016,30.7,0.1,27.4,31.8
"159",3,9,2017,26.1,0.3,19.4,28.9
"160",3,9,2018,21,0.5,12.8,25.5
"161",3,9,2019,23.1,0.5,12.1,27.4
"162",3,9,2020,28.8,0.2,24.3,30.7
"163",3,9,2021,14.5,0.8,1.4,22.3
"164",3,9,2022,29.4,0.2,25.2,30.6
"165",3,9,2023,16.7,0.6,5.5,22.7
"166",3,10,2015,23.3,0.4,15.3,27.1
"167",3,10,2016,29.5,0.1,25.4,31.6
"168",3,10,2017,26.3,0.3,19.7,29.3
"169",3,10,2018,14.5,0.6,2.8,21.5
"170",3,10,2019,28.5,0.2,22,30.4
"171",3,10,2020,30.2,0.2,26.6,31.5
"172",3,10,2021,20.2,0.4,12.6,24.5
"173",3,10,2022,26.3,0.3,19.9,28.9
"174",3,10,2023,15.2,0.6,4,21.4
"175",3,11,2015,22.4,0.4,13.2,26.8
"176",3,11,2016,20.7,0.4,11.9,25.3
"177",3,11,2017,11.4,0.7,0.7,19.7
"178",3,11,2018,9.9,0.7,0.1,19
"179",3,11,2019,16.9,0.6,5.3,22.9
"180",3,11,2020,23.7,0.5,15.4,28.6
"181",3,11,2021,6.8,0.6,0.2,14.8
"182",3,11,2022,20.7,0.4,11.9,25.3
"183",3,11,2023,17.2,0.5,5.8,22.2
"184",4,5,2015,10.6,0.5,1.1,16.9
"185",4,5,2016,15.5,0.6,5,22.5
"186",4,5,2017,9.1,0.6,0.2,15.4
"187",4,5,2018,10,0.6,0.3,16.4
"188",4,5,2019,5.9,0.4,0.1,12
"189",4,5,2021,15.5,0.6,4.3,22.1
"190",4,5,2022,13.3,0.6,2.4,19.9
"191",4,5,2023,2.2,0.3,0.1,9
"192",4,6,2015,14.2,0.9,0.4,24.1
"193",4,6,2016,22.8,0.4,13.5,26.8
"194",4,6,2017,12.8,0.5,3.2,18.1
"195",4,6,2019,15.6,0.5,4.8,21.3
"196",4,6,2020,12.8,0.3,7.4,15.7
"197",4,6,2021,19.3,0.5,9.4,24.8
"198",4,6,2022,20.2,0.4,9.7,24.8
"199",4,6,2023,15.1,0.5,4.9,21.8
"200",4,7,2015,16.1,0.7,3.2,23.7
"201",4,7,2016,26.8,0.3,19.3,30.3
"202",4,7,2017,19.5,0.5,10.3,24.5
"203",4,7,2018,20.9,0.5,10.1,26.3
"204",4,7,2019,17.6,0.6,6.3,23.2
"205",4,7,2020,23.5,0.4,14.6,27.2
"206",4,7,2021,22.7,0.6,9.1,28.7
"207",4,7,2022,26.1,0.3,19.2,28.6
"208",4,7,2023,7.6,0.7,0.1,17.6
"209",4,8,2015,27.7,0.4,21.4,29.5
"210",4,8,2016,28.8,0.2,24,30.5
"211",4,8,2017,25.1,0.3,18.3,28.3
"212",4,8,2018,17.5,0.7,3.9,24.2
"213",4,8,2019,23.6,0.4,14,27.2
"214",4,8,2020,27.9,0.2,21.9,29.6
"215",4,8,2021,11.4,0.4,3.3,16.4
"216",4,8,2022,28.9,0.2,23.4,30.8
"217",4,8,2023,18.3,0.6,7,23.7
"218",4,9,2015,28.5,0.2,23.1,29.9
"219",4,9,2016,30.7,0.1,27.6,31.8
"220",4,9,2017,25.4,0.4,18.5,28.9
"221",4,9,2018,22,0.6,13.7,25.9
"222",4,9,2019,23.5,0.5,13.1,27.5
"223",4,9,2020,28.8,0.2,24.6,30.6
"224",4,9,2021,12.3,0.7,1.4,19.1
"225",4,9,2022,29.4,0.2,25.3,30.6
"226",4,9,2023,17.6,0.5,6.8,23
"227",4,10,2015,23.2,0.4,14.6,27.5
"228",4,10,2016,29.5,0.1,25.4,31.3
"229",4,10,2017,26.2,0.4,18.7,29.5
"230",4,10,2018,14.4,0.7,2.2,21.5
"231",4,10,2019,28.5,0.2,21.8,30.5
"232",4,10,2020,30.3,0.1,26.9,31.5
"233",4,10,2021,19.8,0.4,11.9,25
"234",4,10,2022,26.1,0.3,19,29.1
"235",4,10,2023,16.3,0.5,5.9,21.5
"236",4,11,2015,22.2,0.4,14.5,26.6
"237",4,11,2016,20.8,0.4,12,25.4
"238",4,11,2017,11.1,0.7,0.6,19.1
"239",4,11,2018,6,0.6,0.1,15.8
"240",4,11,2019,16.8,0.6,5.5,22.2
"241",4,11,2020,23.9,0.4,15.4,28.4
"242",4,11,2021,6.8,0.6,0.2,14.2
"243",4,11,2022,20.8,0.4,12.3,25.6
"244",4,11,2023,17.7,0.5,7.1,22.3
"245",5,5,2015,11.4,0.5,2.1,17.4
"246",5,5,2016,14.6,0.6,3.4,22.1
"247",5,5,2017,8.3,0.5,0.5,15.3
"248",5,5,2018,11.9,0.5,2.5,17
"249",5,5,2019,6.3,0.5,0.1,12.6
"250",5,5,2021,15.1,0.7,2.6,22.4
"251",5,5,2022,14.5,0.6,3.1,20.3
"252",5,5,2023,2.5,0.3,0.1,9
"253",5,6,2015,14.1,0.8,0.9,23.3
"254",5,6,2016,23.2,0.4,14,27.6
"255",5,6,2017,12.2,0.4,3.7,17.6
"256",5,6,2019,15.7,0.5,5.4,21.4
"257",5,6,2020,12.3,0.3,6.7,15
"258",5,6,2021,19.8,0.5,10.4,25
"259",5,6,2022,20.9,0.5,10.2,25.2
"260",5,6,2023,15.7,0.6,4.6,22.3
"261",5,7,2015,16.7,0.7,4.2,23.9
"262",5,7,2016,27.2,0.3,20,30.2
"263",5,7,2017,19.4,0.5,10.5,24.8
"264",5,7,2018,21.7,0.5,11.4,26.4
"265",5,7,2019,18.3,0.6,6.9,23.6
"266",5,7,2020,23.7,0.4,15.1,27.2
"267",5,7,2021,21.2,0.8,5.4,28.1
"268",5,7,2022,26.3,0.3,20.1,28.7
"269",5,7,2023,7,0.6,0.2,15.7
"270",5,8,2015,27.7,0.2,21.1,29.7
"271",5,8,2016,29,0.2,24.4,30.6
