"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,5,2019,12.9,0.1,10.5,15.4
"2",1,5,2020,19.6,0.1,17.5,22.2
"3",1,5,2021,25.7,0.1,23.8,28.1
"4",1,5,2022,21.6,0.1,19.6,24.3
"5",1,5,2023,17.8,0.2,14.6,20.1
"6",1,6,2018,26.4,0.1,25.5,27.9
"7",1,6,2019,22.5,0.1,21.6,24
"8",1,6,2020,26.3,0.1,25.1,28.1
"9",1,6,2021,27.3,0.1,25.8,29
"10",1,6,2023,22,0.1,20.5,24.3
"11",1,7,2018,28.1,0.1,27.1,29.4
"12",1,7,2019,24,0.1,23,25.6
"13",1,7,2020,28.7,0,28.1,29.6
"14",1,7,2021,30.7,0,30.4,31.1
"15",1,7,2022,28.9,0,28.1,29.7
"16",1,7,2023,21.1,0.1,19.9,23
"17",1,8,2018,26.1,0.1,24.7,27.6
"18",1,8,2019,27.3,0.1,26.2,28.7
"19",1,8,2020,29.9,0,29.6,30.5
"20",1,8,2021,18.6,0.1,17.4,19.8
"21",1,8,2022,30.6,0,28.7,31
"22",1,8,2023,24.1,0.1,22.6,26.7
"23",1,9,2018,26.4,0.1,24.9,28.1
"24",1,9,2019,28.3,0.1,27.5,29.5
"25",1,9,2020,30.9,0,30.5,31.2
"26",1,9,2021,24.6,0.1,23.5,26.1
"27",1,9,2022,30.7,0,30.5,30.9
"28",1,9,2023,24,0.1,22.7,26.4
"29",1,10,2018,23.4,0.1,21.4,25.6
"30",1,10,2019,30.8,0,30.4,31.2
"31",1,10,2020,31.7,0,31.6,31.8
"32",1,10,2021,26.2,0.1,25.3,27.5
"33",1,10,2022,29.9,0,29.4,30.8
"34",1,10,2023,22.5,0.1,20.5,25.4
"35",1,11,2018,21.9,0.1,16.8,24.3
"36",1,11,2019,25,0.1,24.2,26.9
"37",1,11,2020,29.8,0,29.4,30.6
"38",1,11,2021,19.8,0.1,18.1,22.5
"39",1,11,2022,26.8,0.1,25.7,28.5
"40",1,11,2023,24.7,0.1,23.2,26.9
"41",2,5,2019,13.5,0.1,10.9,16
"42",2,5,2020,18.7,0.1,16.8,20.7
"43",2,5,2021,25,0.1,23.6,27.3
"44",2,5,2022,22.1,0.1,20.4,24.7
"45",2,5,2023,14.2,0.1,12.6,16.3
"46",2,6,2018,26.6,0.1,25.6,28
"47",2,6,2019,22.7,0.1,21.6,24.4
"48",2,6,2020,26.7,0.1,25.5,28.8
"49",2,6,2021,26,0.2,15.2,28.1
"50",2,6,2022,26.5,0.1,25.9,27.6
"51",2,6,2023,22.7,0.1,21.2,25.1
"52",2,7,2018,27.9,0.1,26.6,29.1
"53",2,7,2019,24.1,0.1,23.2,25.9
"54",2,7,2020,28.3,0,27.6,29.3
"55",2,7,2021,30.6,0,30.3,31
"56",2,7,2022,29.1,0,28.7,29.8
"57",2,7,2023,21,0.1,19.7,23.7
"58",2,8,2018,26.2,0.1,24.8,27.5
"59",2,8,2019,27.6,0.1,26.6,29.1
"60",2,8,2020,30,0,29.1,30.5
"61",2,8,2021,18.2,0.1,17.1,19.5
"62",2,8,2022,30.7,0,30.1,31.1
"63",2,8,2023,24.3,0.1,22.8,27.1
"64",2,9,2018,26.7,0.1,25.3,28.5
"65",2,9,2019,28.5,0.1,27.8,29.7
"66",2,9,2020,31,0,30.8,31.2
"67",2,9,2021,24.4,0.1,22.9,25.5
"68",2,9,2022,30.6,0,30.6,30.9
"69",2,9,2023,24.2,0.1,22.9,26.2
"70",2,10,2018,23.6,0.1,21.6,26.3
"71",2,10,2019,30.8,0,30.5,31.2
"72",2,10,2020,31.6,0,30.7,31.8
"73",2,10,2021,26.4,0.1,25.4,27.9
"74",2,10,2022,30,0,29.6,30.9
"75",2,10,2023,23,0.1,21.4,25.8
"76",2,11,2018,21.8,0.1,19.9,24.2
"77",2,11,2019,24.2,0.1,23.3,26
"78",2,11,2020,29.7,0,29.3,30.4
"79",2,11,2021,17.4,0.1,16.1,18.7
"80",2,11,2022,26.8,0.1,26.1,28.2
"81",2,11,2023,24.3,0.1,22.9,25.8
"82",3,5,2019,13.9,0.1,11.5,16.5
"83",3,5,2020,17.8,0.1,15.9,20.6
"84",3,5,2021,24.4,0.1,23.3,26.3
"85",3,5,2022,22.2,0.1,20.7,24.6
"86",3,5,2023,11.9,0.1,11,13
"87",3,6,2018,26.7,0,25.9,27.9
"88",3,6,2019,22.9,0.1,21.7,25
"89",3,6,2020,27.2,0.1,26,28.8
"90",3,6,2021,26.5,0.1,25.5,27.8
"91",3,6,2022,26.7,0.1,25.9,28.1
"92",3,6,2023,23.6,0.1,22.1,26
"93",3,7,2018,27.7,0.1,26.7,28.9
"94",3,7,2019,24.4,0.1,23.3,26.2
"95",3,7,2020,28.1,0,27.6,29.3
"96",3,7,2021,30.6,0,29.9,31.2
"97",3,7,2022,29.2,0,28.8,29.8
"98",3,7,2023,19.9,0.2,17.1,23.5
"99",3,8,2018,26,0.1,24.8,27.4
"100",3,8,2019,28,0.1,27,29.3
"101",3,8,2020,30,0,27.8,30.6
"102",3,8,2021,17.9,0.1,16.6,20.1
"103",3,8,2022,30.8,0,29.2,31.1
"104",3,8,2023,24.6,0.1,23.2,26.9
"105",3,9,2018,27,0.1,25.4,28.6
"106",3,9,2019,28.6,0.1,27.8,29.6
"107",3,9,2020,31,0,30.8,31.2
"108",3,9,2021,22.3,0.1,19.9,24.8
"109",3,9,2022,30.7,0,30.6,31
"110",3,9,2023,24.4,0.1,23,26.6
"111",3,10,2018,23.6,0.1,21.6,25.9
"112",3,10,2019,30.8,0,30.5,31.2
"113",3,10,2020,31.7,0,31.6,31.8
"114",3,10,2021,26.6,0.1,25.7,28.2
"115",3,10,2022,30,0,29.7,30.7
"116",3,10,2023,23.3,0.1,21.5,25.8
"117",3,11,2018,20.4,0.1,16.4,23.1
"118",3,11,2019,24.1,0.1,23,25.6
"119",3,11,2020,29.4,0,29.2,30
"120",3,11,2021,16.8,0.1,15,19.8
"121",3,11,2022,26.9,0.1,26.1,28.6
"122",3,11,2023,23.8,0.1,22.1,25.5
"123",4,5,2018,18.7,0.2,16.7,20.7
"124",4,5,2019,14.6,0.1,12.2,17.4
"125",4,5,2020,18.1,0.1,15.9,20.7
"126",4,5,2021,24.2,0.1,23.3,25.9
"127",4,5,2022,22.2,0.1,20.2,24.5
"128",4,5,2023,11,0.1,8.8,13.1
"129",4,6,2018,26.8,0.1,26,28.1
"130",4,6,2019,22.9,0.1,21.9,25
"131",4,6,2020,27.6,0.1,26.5,29.2
"132",4,6,2021,26.2,0.1,24.4,27.5
"133",4,6,2022,26.6,0.1,25.8,27.9
"134",4,6,2023,24.4,0.1,22.6,26.9
"135",4,7,2018,27.6,0,26.6,28.6
"136",4,7,2019,24.7,0.1,23.6,26.5
"137",4,7,2020,28.1,0,27.7,29.3
"138",4,7,2021,30.3,0,29.8,30.6
"139",4,7,2022,29.3,0,28.8,29.8
"140",4,7,2023,18,0.2,15.2,21.7
"141",4,8,2018,25.4,0.1,20.7,26.9
"142",4,8,2019,28.3,0.1,27.3,29.5
"143",4,8,2020,29.9,0.1,27.7,30.6
"144",4,8,2021,18.3,0.1,16.7,20.9
"145",4,8,2022,30.9,0,30,31.2
"146",4,8,2023,25.2,0.1,23.9,27.3
"147",4,9,2018,27.1,0.1,26,28.8
"148",4,9,2019,28.7,0.1,27.9,29.8
"149",4,9,2020,30.9,0,30.8,31.2
"150",4,9,2021,20.8,0.1,19.2,23.2
"151",4,9,2022,30.7,0,30.6,31.1
"152",4,9,2023,24.8,0.1,23.1,26.9
"153",4,10,2018,23.1,0.1,21.2,25.5
"154",4,10,2019,30.9,0,30.5,31.2
"155",4,10,2020,31.7,0,31.6,31.8
"156",4,10,2021,26.9,0.1,25.9,28.4
"157",4,10,2022,30,0,29.8,30.8
"158",4,10,2023,23.6,0.1,22,25.8
"159",4,11,2018,16.7,0.1,14,19.8
"160",4,11,2019,23.8,0.1,23,25.2
"161",4,11,2020,29.4,0,29,30.2
"162",4,11,2021,17.3,0.2,15,21.5
"163",4,11,2022,27.1,0.1,26.4,28.7
"164",4,11,2023,23.5,0.1,22.6,24.8
"165",5,5,2018,18.9,0.1,17.1,21.3
"166",5,5,2019,15.1,0.1,12.9,18.1
"167",5,5,2020,18.5,0.1,16.5,21.1
