"","Day","Month","Year","Sal_mean","Sal_se","Sal_min","Sal_max"
"1",1,1,2023,18.8,0.5,6.5,25.2
"2",1,1,2024,15.2,0.4,4.8,21.1
"3",1,2,2023,18.2,0.3,9.1,24.4
"4",1,3,2023,24.8,0.2,20.3,27.8
"5",1,4,2023,20,0.3,11.4,24.9
"6",1,5,2018,15.2,0.6,2.8,21.5
"7",1,5,2020,19.1,0.4,6.8,23.3
"8",1,5,2022,19.5,0.4,10.5,23
"9",1,5,2023,15.3,0.7,0.1,21.8
"10",1,6,2017,15.5,0.5,4.3,20.2
"11",1,6,2018,24.2,0.3,16.9,27.2
"12",1,6,2020,24.4,0.3,18.8,27.3
"13",1,6,2021,24,0.5,11.3,28.1
"14",1,6,2022,24.9,0.3,18.5,27.3
"15",1,6,2023,21.6,0.3,14.8,25.8
"16",1,7,2017,23.9,0.4,15.1,26.7
"17",1,7,2018,25.9,0.3,17.4,29
"18",1,7,2019,21.7,0.4,13.2,24.9
"19",1,7,2020,26.1,0.3,19.2,29.1
"20",1,7,2021,29.1,0.2,25.7,30.7
"21",1,7,2022,27,0.2,21.8,29.3
"22",1,7,2023,19.1,0.5,7.1,23.6
"23",1,8,2017,27.1,0.2,23.2,29.1
"24",1,8,2018,23.9,0.4,15.9,27
"25",1,8,2019,24.9,0.3,18.8,28.1
"26",1,8,2020,28.1,0.2,24.3,30.2
"27",1,8,2021,17.4,0.6,1.4,23.7
"28",1,8,2022,29.3,0.2,26.1,30.8
"29",1,8,2023,21.2,0.4,12.7,25
"30",1,9,2017,27.5,0.2,23.5,29.7
"31",1,9,2018,24.8,0.3,19.4,27.3
"32",1,9,2019,23.9,0.5,15.2,28.4
"33",1,9,2020,29.6,0.1,26.7,31
"34",1,9,2021,25.3,0.2,20.8,28
"35",1,9,2022,27.6,0.3,21.5,30.3
"36",1,9,2023,19.9,0.6,8.6,24.6
"37",1,10,2017,28,0.2,24.4,30.1
"38",1,10,2018,21.3,0.4,11.9,24.7
"39",1,10,2019,29.2,0.2,25.7,31
"40",1,10,2020,30.3,0.1,27.6,31.7
"41",1,10,2021,25.3,0.2,20.4,27.3
"42",1,10,2022,NA,NA,Inf,-Inf
"43",1,10,2023,19.7,0.4,12.2,23.9
"44",1,11,2017,NA,NA,Inf,-Inf
"45",1,11,2018,15.6,0.4,5.1,21
"46",1,11,2019,20,0.7,6,25.1
"47",1,11,2020,26.5,0.4,19.1,29.9
"48",1,11,2021,13.1,0.9,0.2,22.4
"49",1,11,2022,25.3,0.3,15.1,27.5
"50",1,11,2023,22.9,0.3,13.9,26
"51",1,12,2017,21,0.5,11.5,25.9
"52",1,12,2018,13.9,0.6,1.9,21.3
"53",1,12,2019,23.7,0.2,17.8,26.9
"54",1,12,2020,23.2,0.6,5.5,27.6
