StationCode,DateTimeStamp,Sal,RESULTS VALID,RESULT COMMENT
GRBBR,9/25/2017 15:30,28.7,,<0> (CND) NEW DEPLOYMENT
GRBBR,9/25/2017 15:45,28.8,, 
GRBBR,9/25/2017 16:00,29,, 
GRBBR,9/25/2017 16:15,29,, 
GRBBR,9/25/2017 16:30,29.1,, 
GRBBR,9/25/2017 16:45,29,, 
GRBBR,9/25/2017 17:00,29.1,, 
GRBBR,9/25/2017 17:15,29.1,, 
GRBBR,9/25/2017 17:30,29.1,, 
GRBBR,9/25/2017 17:45,29.1,, 
GRBBR,9/25/2017 18:00,29.1,, 
GRBBR,9/25/2017 18:15,29,, 
GRBBR,9/25/2017 18:30,29,, 
GRBBR,9/25/2017 18:45,29,, 
GRBBR,9/25/2017 19:00,29,, 
GRBBR,9/25/2017 19:15,28.9,, 
GRBBR,9/25/2017 19:30,28.7,, 
GRBBR,9/25/2017 19:45,28.7,, 
GRBBR,9/25/2017 20:00,28.6,, 
GRBBR,9/25/2017 20:15,28.4,, 
GRBBR,9/25/2017 20:30,28.1,, 
GRBBR,9/25/2017 20:45,28,, 
GRBBR,9/25/2017 21:00,27.7,, 
GRBBR,9/25/2017 21:15,27.1,, 
GRBBR,9/25/2017 21:30,26.8,, 
GRBBR,9/25/2017 21:45,26.2,, 
GRBBR,9/25/2017 22:00,26.3,, 
GRBBR,9/25/2017 22:15,26,, 
GRBBR,9/25/2017 22:30,25.8,, 
GRBBR,9/25/2017 22:45,25.6,, 
GRBBR,9/25/2017 23:00,25.4,, 
GRBBR,9/25/2017 23:15,25.3,, 
GRBBR,9/25/2017 23:30,25,, 
GRBBR,9/25/2017 23:45,23.4,, 
GRBBR,9/26/2017 0:00,24.8,, 
GRBBR,9/26/2017 0:15,23.8,, 
GRBBR,9/26/2017 0:30,24.2,, 
GRBBR,9/26/2017 0:45,24.2,, 
GRBBR,9/26/2017 1:00,24.5,, 
GRBBR,9/26/2017 1:15,24.9,, 
GRBBR,9/26/2017 1:30,25.1,, 
GRBBR,9/26/2017 1:45,25.4,, 
GRBBR,9/26/2017 2:00,25.9,, 
