StationCode,DateTimeStamp,Sal,RESULTS VALID,RESULT COMMENT
grbbrwq,7/14/2023 10:00,17.9,,<0> (CND)
grbbrwq,7/14/2023 10:15,17.9,,0
grbbrwq,7/14/2023 10:30,17.9,,0
grbbrwq,7/14/2023 10:45,18,,0
grbbrwq,7/14/2023 11:00,18,,0
grbbrwq,7/14/2023 11:15,17.9,,0
grbbrwq,7/14/2023 11:30,17.9,,0
grbbrwq,7/14/2023 11:45,17.9,,0
grbbrwq,7/14/2023 12:00,17.9,,0
grbbrwq,7/14/2023 12:15,17.8,,0
grbbrwq,7/14/2023 12:30,17.8,,0
grbbrwq,7/14/2023 12:45,17.7,,0
grbbrwq,7/14/2023 13:00,17.7,,0
grbbrwq,7/14/2023 13:15,17.6,,0
grbbrwq,7/14/2023 13:30,17.6,,0
grbbrwq,7/14/2023 13:45,17.4,,0
grbbrwq,7/14/2023 14:00,17.3,,0
grbbrwq,7/14/2023 14:15,17.1,,0
grbbrwq,7/14/2023 14:30,16.9,,0
grbbrwq,7/14/2023 14:45,16.6,,0
grbbrwq,7/14/2023 15:00,15.1,,0
grbbrwq,7/14/2023 15:15,14.2,,0
grbbrwq,7/14/2023 15:30,13.7,,0
grbbrwq,7/14/2023 15:45,12.8,,0
grbbrwq,7/14/2023 16:00,12,,0
grbbrwq,7/14/2023 16:15,12.2,,0
grbbrwq,7/14/2023 16:30,12.2,,0
grbbrwq,7/14/2023 16:45,13.6,,0
grbbrwq,7/14/2023 17:00,14.4,,0
grbbrwq,7/14/2023 17:15,14.9,,0
grbbrwq,7/14/2023 17:30,14.6,,0
grbbrwq,7/14/2023 17:45,14.1,,0
grbbrwq,7/14/2023 18:00,14.8,,0
grbbrwq,7/14/2023 18:15,14.4,,0
grbbrwq,7/14/2023 18:30,15.3,,0
grbbrwq,7/14/2023 18:45,15.4,,0
grbbrwq,7/14/2023 19:00,15.3,,0
grbbrwq,7/14/2023 19:15,15.3,,0
grbbrwq,7/14/2023 19:30,16,,0
grbbrwq,7/14/2023 19:45,16.4,,0
grbbrwq,7/14/2023 20:00,16.5,,0
grbbrwq,7/14/2023 20:15,16.8,,0
grbbrwq,7/14/2023 20:30,17.1,,0
grbbrwq,7/14/2023 20:45,17.4,,0
grbbrwq,7/14/2023 21:00,17.6,,0
grbbrwq,7/14/2023 21:15,17.8,,0
grbbrwq,7/14/2023 21:30,17.9,,0
grbbrwq,7/14/2023 21:45,18.1,,0
grbbrwq,7/14/2023 22:00,18.2,,0
grbbrwq,7/14/2023 22:15,18.3,,0
grbbrwq,7/14/2023 22:30,18.4,,0
grbbrwq,7/14/2023 22:45,18.4,,0
grbbrwq,7/14/2023 23:00,18.4,,0
grbbrwq,7/14/2023 23:15,18.4,,0
