StationCode,DateTimeStamp,Sal,RESULTS VALID,RESULT COMMENT
GRBLPR,4/10/2023 14:30,25.8,,<0> (CND) NEW DEPLOYMENT BEGINS
GRBLPR,4/10/2023 14:45,26.5,, 
GRBLPR,4/10/2023 15:00,27,, 
GRBLPR,4/10/2023 15:15,27.5,, 
GRBLPR,4/10/2023 15:30,27.8,, 
GRBLPR,4/10/2023 15:45,28.2,, 
GRBLPR,4/10/2023 16:00,28.2,, 
GRBLPR,4/10/2023 16:15,28.7,, 
GRBLPR,4/10/2023 16:30,28.8,, 
GRBLPR,4/10/2023 16:45,28.9,, 
GRBLPR,4/10/2023 17:00,29,, 
GRBLPR,4/10/2023 17:15,29.1,, 
GRBLPR,4/10/2023 17:30,28.8,, 
GRBLPR,4/10/2023 17:45,28,, 
GRBLPR,4/10/2023 18:00,28.4,, 
GRBLPR,4/10/2023 18:15,28.3,, 
GRBLPR,4/10/2023 18:30,28.1,, 
GRBLPR,4/10/2023 18:45,26.7,, 
GRBLPR,4/10/2023 19:00,25.5,, 
GRBLPR,4/10/2023 19:15,24.9,, 
GRBLPR,4/10/2023 19:30,24.3,, 
GRBLPR,4/10/2023 19:45,23.7,, 
GRBLPR,4/10/2023 20:00,23.2,, 
GRBLPR,4/10/2023 20:15,22.7,, 
GRBLPR,4/10/2023 20:30,22.2,, 
GRBLPR,4/10/2023 20:45,21.9,, 
GRBLPR,4/10/2023 21:00,21.5,, 
GRBLPR,4/10/2023 21:15,21.2,, 
GRBLPR,4/10/2023 21:30,20.9,, 
GRBLPR,4/10/2023 21:45,20.6,, 
GRBLPR,4/10/2023 22:00,20.3,, 
GRBLPR,4/10/2023 22:15,20.2,, 
GRBLPR,4/10/2023 22:30,19.9,, 
GRBLPR,4/10/2023 22:45,19.7,, 
GRBLPR,4/10/2023 23:00,19.5,, 
GRBLPR,4/10/2023 23:15,19.5,, 
GRBLPR,4/10/2023 23:30,19.4,, 
GRBLPR,4/10/2023 23:45,20.1,, 
GRBLPR,4/11/2023 0:00,20.3,, 
GRBLPR,4/11/2023 0:15,20.4,, 
GRBLPR,4/11/2023 0:30,20.6,, 
GRBLPR,4/11/2023 0:45,21.4,, 
GRBLPR,4/11/2023 1:00,21.9,, 
GRBLPR,4/11/2023 1:15,22.7,, 
GRBLPR,4/11/2023 1:30,23.5,, 
GRBLPR,4/11/2023 1:45,24.7,, 
GRBLPR,4/11/2023 2:00,25.6,, 
GRBLPR,4/11/2023 2:15,26.3,, 
GRBLPR,4/11/2023 2:30,27,, 
GRBLPR,4/11/2023 2:45,27.5,, 
GRBLPR,4/11/2023 3:00,28,, 
GRBLPR,4/11/2023 3:15,28.4,, 
GRBLPR,4/11/2023 3:30,28.7,, 
GRBLPR,4/11/2023 3:45,29,, 
GRBLPR,4/11/2023 4:00,29.3,, 
GRBLPR,4/11/2023 4:15,29.5,, 
GRBLPR,4/11/2023 4:30,29.7,, 
GRBLPR,4/11/2023 4:45,29.9,, 
