StationCode,DateTimeStamp,Sal,RESULTS VALID,RESULT COMMENT
GRBULB,4/6/2021 14:15,22.2,,<0> (CND) NEW DEPLOYMENT
GRBULB,4/6/2021 14:30,22,, 
GRBULB,4/6/2021 14:45,21.9,, 
GRBULB,4/6/2021 15:00,21.8,, 
GRBULB,4/6/2021 15:15,21.8,, 
GRBULB,4/6/2021 15:30,21.4,, 
GRBULB,4/6/2021 15:45,21.2,, 
GRBULB,4/6/2021 16:00,21.2,, 
GRBULB,4/6/2021 16:15,21.2,, 
GRBULB,4/6/2021 16:30,21,, 
GRBULB,4/6/2021 16:45,21.1,, 
GRBULB,4/6/2021 17:00,21.5,, 
GRBULB,4/6/2021 17:15,21.7,, 
GRBULB,4/6/2021 17:30,21.3,, 
GRBULB,4/6/2021 17:45,21,, 
GRBULB,4/6/2021 18:00,20.9,, 
GRBULB,4/6/2021 18:15,21.1,, 
GRBULB,4/6/2021 18:30,22.2,, 
GRBULB,4/6/2021 18:45,22.1,, 
GRBULB,4/6/2021 19:00,22.1,, 
GRBULB,4/6/2021 19:15,22.1,, 
GRBULB,4/6/2021 19:30,22.2,, 
GRBULB,4/6/2021 19:45,22.1,, 
GRBULB,4/6/2021 20:00,22.3,, 
GRBULB,4/6/2021 20:15,22.6,, 
GRBULB,4/6/2021 20:30,22.8,, 
GRBULB,4/6/2021 20:45,22.8,, 
GRBULB,4/6/2021 21:00,22.9,, 
GRBULB,4/6/2021 21:15,23.2,, 
GRBULB,4/6/2021 21:30,23.3,, 
GRBULB,4/6/2021 21:45,23.7,, 
GRBULB,4/6/2021 22:00,23.7,, 
GRBULB,4/6/2021 22:15,23.9,, 
GRBULB,4/6/2021 22:30,24.2,, 
GRBULB,4/6/2021 22:45,24.3,, 
GRBULB,4/6/2021 23:00,24.4,, 
GRBULB,4/6/2021 23:15,24,, 
GRBULB,4/6/2021 23:30,23.9,, 
GRBULB,4/6/2021 23:45,24,, 
GRBULB,4/7/2021 0:00,24,, 
GRBULB,4/7/2021 0:15,23.8,, 
GRBULB,4/7/2021 0:30,23.7,, 
GRBULB,4/7/2021 0:45,23.4,, 
GRBULB,4/7/2021 1:00,22.8,, 
GRBULB,4/7/2021 1:15,22.7,, 
GRBULB,4/7/2021 1:30,22.6,, 
GRBULB,4/7/2021 1:45,22.6,, 
GRBULB,4/7/2021 2:00,22.5,, 
GRBULB,4/7/2021 2:15,22.4,, 
GRBULB,4/7/2021 2:30,22.4,, 
GRBULB,4/7/2021 2:45,21.9,, 
GRBULB,4/7/2021 3:00,22,, 
GRBULB,4/7/2021 3:15,21.9,, 
