StationCode,DateTimeStamp,Sal,RESULTS VALID,RESULT COMMENT
GRBUPR,4/21/2022 13:15,18.5,,<0> (CND) NEW DEPLOYMENT BEGINS
GRBUPR,4/21/2022 13:30,19.3,, 
GRBUPR,4/21/2022 13:45,19.4,, 
GRBUPR,4/21/2022 14:00,19.5,, 
GRBUPR,4/21/2022 14:15,19.6,, 
GRBUPR,4/21/2022 14:30,19.1,, 
GRBUPR,4/21/2022 14:45,19.1,, 
GRBUPR,4/21/2022 15:00,18.6,, 
GRBUPR,4/21/2022 15:15,18.4,, 
GRBUPR,4/21/2022 15:30,18.3,, 
GRBUPR,4/21/2022 15:45,18.2,, 
GRBUPR,4/21/2022 16:00,18.1,, 
GRBUPR,4/21/2022 16:15,18.1,, 
GRBUPR,4/21/2022 16:30,18.2,, 
GRBUPR,4/21/2022 16:45,18.2,, 
GRBUPR,4/21/2022 17:00,18.3,, 
GRBUPR,4/21/2022 17:15,18.3,, 
GRBUPR,4/21/2022 17:30,18.3,, 
GRBUPR,4/21/2022 17:45,18.2,, 
GRBUPR,4/21/2022 18:00,18.5,, 
GRBUPR,4/21/2022 18:15,18.3,, 
GRBUPR,4/21/2022 18:30,18.1,, 
GRBUPR,4/21/2022 18:45,18.1,, 
GRBUPR,4/21/2022 19:00,18,, 
GRBUPR,4/21/2022 19:15,17.9,, 
GRBUPR,4/21/2022 19:30,17.6,, 
GRBUPR,4/21/2022 19:45,17.6,, 
GRBUPR,4/21/2022 20:00,17.2,, 
GRBUPR,4/21/2022 20:15,15.8,, 
GRBUPR,4/21/2022 20:30,13,, 
GRBUPR,4/21/2022 20:45,11.4,, 
GRBUPR,4/21/2022 21:00,8.9,, 
GRBUPR,4/21/2022 21:15,6,, 
GRBUPR,4/21/2022 21:30,4.9,, 
GRBUPR,4/21/2022 21:45,4.3,, 
GRBUPR,4/21/2022 22:00,3.6,, 
GRBUPR,4/21/2022 22:15,3.2,, 
GRBUPR,4/21/2022 22:30,2.5,, 
GRBUPR,4/21/2022 22:45,2.3,, 
GRBUPR,4/21/2022 23:00,2,, 
GRBUPR,4/21/2022 23:15,1.8,, 
GRBUPR,4/21/2022 23:30,1.6,, 
GRBUPR,4/21/2022 23:45,3.4,, 
GRBUPR,4/22/2022 0:00,16,, 
GRBUPR,4/22/2022 0:15,18.2,, 
GRBUPR,4/22/2022 0:30,18.9,, 
GRBUPR,4/22/2022 0:45,20.3,, 
GRBUPR,4/22/2022 1:00,20.7,, 
GRBUPR,4/22/2022 1:15,20.1,, 
GRBUPR,4/22/2022 1:30,19.9,, 
GRBUPR,4/22/2022 1:45,20.1,, 
GRBUPR,4/22/2022 2:00,19.8,, 
GRBUPR,4/22/2022 2:15,19.4,, 
GRBUPR,4/22/2022 2:30,19.1,, 
GRBUPR,4/22/2022 2:45,18.8,, 
GRBUPR,4/22/2022 3:00,18.4,, 
GRBUPR,4/22/2022 3:15,18.2,, 
GRBUPR,4/22/2022 3:30,18,, 
GRBUPR,4/22/2022 3:45,17.9,, 
GRBUPR,4/22/2022 4:00,18,, 
GRBUPR,4/22/2022 4:15,18.2,, 
GRBUPR,4/22/2022 4:30,18.3,, 
GRBUPR,4/22/2022 4:45,18.5,, 
GRBUPR,4/22/2022 5:00,18.7,, 
GRBUPR,4/22/2022 5:15,18.9,, 
GRBUPR,4/22/2022 5:30,19.1,, 
GRBUPR,4/22/2022 5:45,19.2,, 
GRBUPR,4/22/2022 6:00,19.2,, 
GRBUPR,4/22/2022 6:15,19,, 
GRBUPR,4/22/2022 6:30,18.8,, 
GRBUPR,4/22/2022 6:45,18.8,, 
